sample_index,label,time_ms,ax,ay,az,gx,gy,gz,mx,my,mz,accel_mag,gyro_mag,wobble
0,Backhand,0,-0.588,0.7036,0.423,-49.07,21.18,30.7,21.0,28.0,-97.0,1.0098,61.64,False
1,Backhand,24,-0.6016,0.7372,0.3668,-41.14,31.01,23.32,21.0,28.0,-97.0,1.0197,56.54,False
2,Backhand,45,-0.5898,0.7181,0.2733,-35.28,36.74,-1.77,21.0,28.0,-97.0,0.9687,50.97,False
3,Backhand,71,-0.5273,0.7605,0.2135,-28.63,40.47,-26.55,23.0,32.0,-100.0,0.9498,56.23,False
4,Backhand,92,-0.4174,0.7234,0.2961,-1.4,45.65,-30.03,23.0,32.0,-100.0,0.8861,54.66,False
5,Backhand,113,-0.3585,0.7595,0.3375,20.63,50.66,2.32,23.0,32.0,-100.0,0.9052,54.75,False
6,Backhand,133,-0.2786,0.8192,0.327,52.31,57.74,56.58,23.0,32.0,-100.0,0.925,96.29,False
7,Backhand,157,-0.2747,0.8679,0.3171,60.67,60.3,66.96,17.0,30.0,-93.0,0.964,108.63,False
8,Backhand,174,-0.389,0.7996,0.4014,67.57,72.02,62.74,17.0,30.0,-93.0,0.9756,117.0,False
9,Backhand,200,-0.4944,0.7496,0.4283,41.87,79.59,37.05,17.0,30.0,-93.0,0.9949,97.26,False
10,Backhand,220,-0.4647,0.7333,0.5,5.07,81.6,-1.83,17.0,30.0,-93.0,1.0018,81.78,False
11,Backhand,241,-0.432,0.8038,0.538,-21.67,78.19,-36.68,17.0,30.0,-93.0,1.0593,89.04,False
12,Backhand,267,-0.4471,0.8623,0.4927,-33.69,78.8,-46.45,16.0,28.0,-87.0,1.0891,97.47,False
13,Backhand,288,-0.462,0.8525,0.4945,-29.36,91.19,-23.13,16.0,28.0,-87.0,1.0885,98.55,False
14,Backhand,309,-0.5103,0.9175,0.3896,-22.4,108.46,-6.1,16.0,28.0,-87.0,1.1198,110.92,False
15,Backhand,329,-0.4886,0.9519,0.3801,-6.29,124.63,1.34,16.0,28.0,-87.0,1.1355,124.8,False
16,Backhand,351,-0.4899,0.9137,0.3361,9.64,136.66,-0.24,18.0,28.0,-82.0,1.0898,137.0,False
17,Backhand,376,-0.5018,0.8488,0.2347,13.24,147.52,-8.48,18.0,28.0,-82.0,1.0136,148.36,False
18,Backhand,396,-0.3831,0.8369,0.2825,11.9,152.1,-8.85,18.0,28.0,-82.0,0.9628,152.82,False
19,Backhand,417,-0.3359,0.7856,0.2943,11.78,146.24,1.04,18.0,28.0,-82.0,0.9037,146.72,False
20,Backhand,437,-0.3589,0.7034,0.2107,3.85,131.71,-5.43,18.0,28.0,-82.0,0.8173,131.88,False
21,Backhand,463,-0.3357,0.6686,0.1975,-5.62,120.73,-8.24,13.0,24.0,-74.0,0.7738,121.14,False
22,Backhand,484,-0.3423,0.6697,0.1871,-11.47,106.87,6.77,13.0,24.0,-74.0,0.775,107.7,False
23,Backhand,505,-0.3739,0.7153,0.167,-21.42,83.25,34.97,13.0,24.0,-74.0,0.8243,92.81,False
24,Backhand,530,-0.4067,0.7887,0.1185,-25.82,65.12,39.18,13.0,24.0,-74.0,0.8953,80.27,False
25,Backhand,552,-0.4529,0.8486,-0.0481,-24.9,43.33,39.92,14.0,26.0,-72.0,0.9631,63.96,False
26,Backhand,577,-0.4631,0.9307,-0.2747,-16.24,10.99,53.16,14.0,26.0,-72.0,1.0752,56.66,False
27,Backhand,598,-0.5923,0.9092,-0.4923,8.97,-82.95,98.02,14.0,26.0,-72.0,1.1915,128.72,False
28,Backhand,619,-0.952,0.8267,-0.9875,1.4,-178.89,105.9,14.0,26.0,-72.0,1.6016,207.89,False
29,Backhand,639,-1.4564,0.838,-1.9598,-50.78,-302.31,98.69,14.0,26.0,-72.0,2.5815,322.04,False
30,Backhand,663,-1.8489,0.9669,-3.4124,-162.41,-451.6,79.47,16.0,31.0,-93.0,3.9997,486.45,False
31,Backhand,683,-1.8721,1.2886,-4.0,-356.93,-697.69,38.21,16.0,31.0,-93.0,4.6006,784.63,False
32,Backhand,709,-1.5057,1.4376,-3.9797,-256.65,-931.82,10.5,16.0,31.0,-93.0,4.4914,966.58,False
33,Backhand,729,-2.3604,0.6179,-3.9971,129.58,-1296.75,17.64,16.0,31.0,-93.0,4.6829,1303.33,False
34,Backhand,756,-3.9502,-0.7651,-4.0,384.34,-1685.0,-35.46,23.0,0.0,-117.0,5.6736,1728.64,False
35,Backhand,775,-1.561,1.5509,-3.4951,247.74,-1967.16,-152.28,23.0,0.0,-117.0,4.1301,1988.54,False
36,Backhand,796,0.0314,2.1721,-2.3373,-79.9,-1999.94,-105.47,23.0,0.0,-117.0,3.1909,2004.31,False
37,Backhand,817,0.5983,1.0791,-1.4069,-118.1,-1996.34,128.72,23.0,0.0,-117.0,1.8713,2003.97,False
38,Backhand,842,0.6785,0.0343,-1.8226,-90.82,-1999.15,206.85,23.0,0.0,-117.0,1.9451,2011.87,False
39,Backhand,861,0.9392,0.1998,-1.6377,-39.92,-1999.15,204.22,19.0,31.0,-93.0,1.8984,2009.95,False
40,Backhand,885,0.8335,0.3939,-1.4078,64.94,-1999.27,169.74,19.0,31.0,-93.0,1.6828,2007.51,False
41,Backhand,906,0.7848,0.709,-1.2875,166.93,-1999.51,122.31,19.0,31.0,-93.0,1.6662,2010.19,False
42,Backhand,923,0.5969,0.5309,-1.1255,238.59,-1999.94,3.6,19.0,31.0,-93.0,1.3802,2014.12,False
43,Backhand,945,0.4767,0.4557,-1.165,259.89,-1999.94,-119.38,19.0,31.0,-93.0,1.3387,2020.28,False
44,Backhand,967,0.3358,0.5714,-1.3694,191.16,-1999.94,-182.98,14.0,0.0,-75.0,1.5213,2017.37,False
45,Backhand,983,0.5692,0.5695,-1.5148,-17.76,-1999.94,-207.28,14.0,0.0,-75.0,1.7155,2010.73,False
46,Backhand,1008,0.6489,0.6295,-1.5508,-125.43,-1999.94,-160.1,14.0,0.0,-75.0,1.7951,2010.25,False
47,Backhand,1026,0.8026,0.6118,-1.6016,-171.45,-1999.94,-110.11,14.0,0.0,-75.0,1.893,2010.29,False
48,Backhand,1046,0.9203,0.637,-1.4371,-235.78,-1999.82,43.27,14.0,0.0,-75.0,1.8215,2014.13,False
49,Backhand,1073,0.8058,0.7769,-1.2286,-161.19,-1999.45,135.31,23.0,23.0,-129.0,1.662,2010.5,False
50,Backhand,1093,0.6793,0.756,-1.225,25.94,-1999.15,213.01,23.0,23.0,-129.0,1.5917,2010.63,False
51,Backhand,1118,0.5089,0.6908,-1.2181,166.44,-1999.33,170.65,23.0,23.0,-129.0,1.49,2013.49,False
52,Backhand,1136,0.4264,0.6199,-1.3923,229.0,-1999.45,130.62,23.0,23.0,-129.0,1.5826,2016.76,False
53,Backhand,1158,0.4951,0.7324,-1.5975,261.05,-1999.94,-30.21,12.0,14.0,-58.0,1.8258,2017.13,False
54,Backhand,1176,0.6381,0.8411,-1.5684,223.63,-1999.94,-90.39,12.0,14.0,-58.0,1.8906,2014.43,False
55,Backhand,1195,0.6801,0.8397,-1.5032,70.86,-1999.94,-215.03,12.0,14.0,-58.0,1.8513,2012.71,False
56,Backhand,1217,0.7395,0.7441,-1.4623,-63.17,-1999.94,-198.06,12.0,14.0,-58.0,1.7997,2010.71,False
57,Backhand,1235,0.7961,0.7281,-1.3346,-125.06,-1999.94,-164.67,12.0,14.0,-58.0,1.7162,2010.6,False
58,Backhand,1261,0.7607,0.807,-1.2493,-188.17,-1999.94,-14.28,25.0,1.0,-130.0,1.6705,2008.82,False
59,Backhand,1282,0.5521,0.9563,-1.1858,-132.32,-1999.57,99.61,25.0,1.0,-130.0,1.6203,2006.42,False
60,Backhand,1300,0.5349,0.7517,-1.2755,-35.83,-1999.33,161.25,25.0,1.0,-130.0,1.5742,2006.14,False
61,Backhand,1325,0.5482,0.6078,-1.3649,69.46,-1999.39,150.21,25.0,1.0,-130.0,1.5915,2006.23,False
62,Backhand,1346,0.5542,0.7456,-1.4706,146.61,-1999.57,95.83,25.0,1.0,-130.0,1.7394,2007.23,False
63,Backhand,1368,0.6823,1.052,-1.5251,161.19,-1999.94,-37.23,13.0,26.0,-66.0,1.9744,2006.77,False
64,Backhand,1388,0.6949,1.0776,-1.4653,111.63,-1999.94,-101.01,13.0,26.0,-66.0,1.9472,2005.6,False
65,Backhand,1409,0.7061,0.8562,-1.4016,34.85,-1999.94,-113.89,13.0,26.0,-66.0,1.7878,2003.48,False
66,Backhand,1430,0.7079,0.8539,-1.2793,-38.09,-1999.94,-91.55,13.0,26.0,-66.0,1.6932,2002.4,False
67,Backhand,1452,0.6194,1.0133,-1.2151,-80.63,-1999.94,-40.71,21.0,-3.0,-116.0,1.6991,2001.98,False
68,Backhand,1477,0.5132,0.9862,-1.2461,-82.28,-1999.88,24.54,21.0,-3.0,-116.0,1.6699,2001.72,False
69,Backhand,1494,0.4934,0.8202,-1.3284,-40.16,-1999.69,73.61,21.0,-3.0,-116.0,1.6373,2001.45,False
70,Backhand,1515,0.5054,0.7435,-1.3876,22.28,-1999.63,91.0,21.0,-3.0,-116.0,1.6534,2001.83,False
71,Backhand,1537,0.5916,0.7871,-1.4882,87.28,-1999.76,54.38,21.0,-3.0,-116.0,1.7844,2002.4,False
