sample_index,label,time_ms,ax,ay,az,gx,gy,gz,mx,my,mz,accel_mag,gyro_mag,wobble
0,Forehand,0,0.2278,0.749,0.4967,-57.31,8.18,0.0,23.0,1.0,-103.0,0.9272,57.89,False
1,Forehand,25,0.2837,0.7535,0.4883,-78.61,5.74,-4.88,22.0,-1.0,-110.0,0.9417,78.97,False
2,Forehand,46,0.3473,0.7893,0.489,-92.96,-2.01,-10.74,22.0,-1.0,-110.0,0.9913,93.6,False
3,Forehand,70,0.4513,0.833,0.597,-98.69,-31.86,-15.2,22.0,-1.0,-110.0,1.1198,104.82,False
4,Forehand,91,0.5055,0.8975,0.5677,-90.03,-60.49,-14.89,22.0,-1.0,-110.0,1.1761,109.48,False
5,Forehand,112,0.4991,0.991,0.4498,-74.04,-85.94,-8.91,22.0,-1.0,-110.0,1.1973,113.78,False
6,Forehand,138,0.4958,1.0853,0.3104,-56.46,-101.93,0.67,24.0,-2.0,-116.0,1.2329,116.52,False
7,Forehand,158,0.3735,1.1599,0.1796,-42.66,-107.67,15.99,24.0,-2.0,-116.0,1.2317,116.91,False
8,Forehand,182,0.3269,1.1472,0.1118,-25.7,-102.91,35.83,24.0,-2.0,-116.0,1.1981,111.95,False
9,Forehand,202,0.2839,1.1068,0.072,-16.54,-96.92,41.14,24.0,-2.0,-116.0,1.1449,106.58,False
10,Forehand,223,0.3123,1.0818,0.0587,-14.47,-91.67,43.58,23.0,-1.0,-109.0,1.1275,102.53,False
11,Forehand,249,0.3309,1.0748,0.0582,-20.2,-88.87,49.07,23.0,-1.0,-109.0,1.1261,103.51,False
12,Forehand,269,0.2742,1.064,0.0024,-19.65,-88.62,51.64,23.0,-1.0,-109.0,1.0987,104.43,False
13,Forehand,290,0.187,1.0334,-0.077,-8.18,-87.59,50.66,23.0,-1.0,-109.0,1.0531,101.51,False
14,Forehand,315,0.131,0.9988,-0.1393,12.27,-85.57,42.79,23.0,-1.0,-109.0,1.0169,96.45,False
15,Forehand,336,0.1462,0.9559,-0.1523,35.22,-80.57,27.89,23.0,1.0,-104.0,0.979,92.25,False
16,Forehand,355,0.1854,0.9276,-0.1249,50.42,-76.72,8.79,23.0,1.0,-104.0,0.9542,92.22,False
17,Forehand,380,0.1407,0.9591,-0.1089,48.89,-78.98,9.52,23.0,1.0,-104.0,0.9755,93.37,False
18,Forehand,400,0.1381,1.0076,-0.1431,47.97,-76.9,14.04,23.0,1.0,-104.0,1.027,91.72,False
19,Forehand,419,0.1183,1.0737,-0.1147,56.88,-71.41,16.85,23.0,1.0,-104.0,1.0863,92.84,False
20,Forehand,445,0.1451,1.1519,0.0266,75.93,-69.09,21.48,23.0,0.0,-97.0,1.1613,104.88,False
21,Forehand,466,0.2479,1.1733,0.2008,90.58,-76.23,34.12,23.0,0.0,-97.0,1.2159,123.21,False
22,Forehand,491,0.4608,1.1559,0.3889,92.47,-109.5,65.55,23.0,0.0,-97.0,1.3037,157.6,False
23,Forehand,509,0.5558,1.1901,0.553,93.99,-138.85,86.67,23.0,0.0,-97.0,1.4251,188.75,False
24,Forehand,531,0.6576,1.1981,0.7555,91.43,-174.56,119.26,21.0,8.0,-81.0,1.5616,230.34,False
25,Forehand,554,0.8822,1.1195,0.9314,74.65,-222.05,169.13,21.0,8.0,-81.0,1.7027,288.93,False
26,Forehand,575,1.1346,0.9447,1.0027,52.61,-286.93,224.24,21.0,8.0,-81.0,1.7847,367.94,False
27,Forehand,596,1.3722,0.7299,0.9128,53.89,-373.84,269.65,21.0,8.0,-81.0,1.8025,464.08,False
28,Forehand,619,1.9142,0.1963,0.5959,101.44,-523.62,311.77,21.0,8.0,-81.0,2.0144,617.79,False
29,Forehand,641,2.6632,-0.4531,0.209,132.57,-639.47,314.33,16.0,27.0,-73.0,2.7096,724.77,False
30,Forehand,663,3.5447,-1.1799,-0.4952,174.8,-768.98,264.22,16.0,27.0,-73.0,3.7686,831.69,False
31,Forehand,682,4.0,-1.7167,-1.4677,238.46,-883.36,134.03,16.0,27.0,-73.0,4.5936,924.75,False
32,Forehand,707,3.9987,-2.1454,-3.833,286.74,-945.25,-55.97,16.0,27.0,-73.0,5.94,989.37,False
33,Forehand,728,3.9922,-2.1233,-4.0,281.8,-938.96,-267.82,27.0,24.0,-116.0,6.037,1016.26,False
34,Forehand,747,4.0,-0.6641,-3.9794,197.75,-573.97,-739.32,27.0,24.0,-116.0,5.6812,956.63,False
35,Forehand,772,4.0,1.1591,-3.9929,294.92,121.89,-909.06,27.0,24.0,-116.0,5.7695,963.44,False
36,Forehand,792,3.9999,1.645,-4.0,499.08,1088.44,-571.72,27.0,24.0,-116.0,5.8911,1326.89,False
37,Forehand,812,4.0,0.4318,-3.9998,550.6,1791.44,-23.99,27.0,24.0,-116.0,5.6731,1874.3,False
38,Forehand,838,4.0,0.3025,-3.9998,435.3,2000.0,165.83,27.0,11.0,-104.0,5.6648,2053.53,False
39,Forehand,859,1.1093,1.8223,-2.0438,109.68,1995.42,110.78,27.0,11.0,-104.0,2.9544,2001.5,False
40,Forehand,883,0.8904,1.5769,-2.0645,-8.67,1999.39,183.78,27.0,11.0,-104.0,2.7462,2007.84,False
41,Forehand,904,0.9319,1.1805,-2.2626,-148.32,2000.0,133.79,27.0,11.0,-104.0,2.7169,2009.95,False
42,Forehand,925,0.718,0.9728,-2.0928,-223.69,1999.94,5.98,29.0,10.0,-96.0,2.4169,2012.42,False
43,Forehand,950,0.7246,1.3757,-1.7693,-110.47,1999.45,-143.37,29.0,10.0,-96.0,2.3554,2007.63,False
44,Forehand,969,0.8812,1.228,-1.7533,25.51,1999.45,-149.35,29.0,10.0,-96.0,2.3149,2005.18,False
45,Forehand,988,1.0035,0.9478,-1.8428,121.89,1999.76,-77.21,29.0,10.0,-96.0,2.3024,2004.95,False
46,Forehand,1013,1.0862,0.9821,-2.0168,147.95,2000.0,24.29,29.0,10.0,-96.0,2.4924,2005.61,False
47,Forehand,1035,1.0056,1.2738,-2.1654,83.01,2000.0,106.93,24.0,19.0,-93.0,2.7061,2004.58,False
48,Forehand,1060,0.7935,0.9266,-2.0859,-76.48,2000.0,111.57,24.0,19.0,-93.0,2.4165,2004.57,False
49,Forehand,1079,0.7108,0.8307,-1.9337,-131.47,2000.0,47.06,24.0,19.0,-93.0,2.2214,2004.87,False
50,Forehand,1100,0.7485,1.0897,-1.7924,-122.92,1999.94,-20.2,24.0,19.0,-93.0,2.2272,2003.81,False
51,Forehand,1119,0.8909,1.1661,-1.7362,-64.21,1999.76,-69.95,24.0,19.0,-93.0,2.2733,2002.01,False
52,Forehand,1144,0.9761,0.9714,-1.87,-7.08,1999.76,-71.53,27.0,13.0,-109.0,2.3223,2001.05,False
53,Forehand,1164,1.016,1.0385,-1.9823,33.02,1999.88,-37.78,27.0,13.0,-109.0,2.4577,2000.51,False
54,Forehand,1188,0.9064,1.1544,-2.1324,39.49,2000.0,22.28,27.0,13.0,-109.0,2.5887,2000.51,False
55,Forehand,1209,0.7506,1.0873,-2.0825,1.34,2000.0,54.32,27.0,13.0,-109.0,2.4663,2000.74,False
56,Forehand,1230,0.7185,0.8234,-1.9294,-44.01,2000.0,62.87,25.0,9.0,-92.0,2.2174,2001.47,False
57,Forehand,1255,0.7869,0.825,-1.7853,-73.49,2000.0,38.94,25.0,9.0,-92.0,2.1182,2001.73,False
58,Forehand,1275,0.9041,0.8757,-1.7551,-70.07,2000.0,-0.31,25.0,9.0,-92.0,2.1598,2001.23,False
59,Forehand,1295,0.9976,0.6979,-1.8317,-21.61,1999.82,-46.87,25.0,9.0,-92.0,2.1994,2000.48,False
60,Forehand,1319,0.9762,0.5801,-1.9849,21.67,1999.88,-41.2,25.0,9.0,-92.0,2.2867,2000.42,False
61,Forehand,1341,0.8809,0.6412,-2.0522,40.34,2000.0,-8.79,25.0,17.0,-100.0,2.3235,2000.43,False
62,Forehand,1360,0.7803,0.6398,-2.0244,23.68,2000.0,34.36,25.0,17.0,-100.0,2.2619,2000.44,False
