sample_index,label,time_ms,ax,ay,az,gx,gy,gz,mx,my,mz,accel_mag,gyro_mag,wobble
0,Hammer,0,-0.9545,0.1135,0.184,-10.68,-73.36,-23.62,-18.0,42.0,-57.0,0.9786,77.81,False
1,Hammer,21,-0.9628,0.1235,0.2091,-3.11,-78.55,-22.58,-13.0,41.0,-67.0,0.9929,81.79,False
2,Hammer,46,-0.9441,0.1449,0.1863,3.78,-85.57,-20.08,-13.0,41.0,-67.0,0.9731,87.98,False
3,Hammer,66,-0.9153,0.1653,0.1215,5.43,-91.43,-15.62,-13.0,41.0,-67.0,0.938,92.92,False
4,Hammer,87,-0.9037,0.2202,0.1576,12.7,-103.82,0.49,-13.0,41.0,-67.0,0.9434,104.6,False
5,Hammer,112,-0.9009,0.2795,0.1584,23.86,-111.63,7.87,-13.0,41.0,-67.0,0.9565,114.43,False
6,Hammer,133,-0.8986,0.3589,0.0748,33.94,-113.77,15.99,-9.0,45.0,-78.0,0.9705,119.8,False
7,Hammer,152,-1.007,0.4094,0.0264,41.26,-113.16,31.37,-9.0,45.0,-78.0,1.0873,124.47,False
8,Hammer,177,-1.02,0.4802,0.0726,49.01,-126.71,40.34,-9.0,45.0,-78.0,1.1297,141.72,False
9,Hammer,197,-1.0751,0.5525,-0.0769,42.97,-129.58,38.21,-9.0,45.0,-78.0,1.2112,141.76,False
10,Hammer,223,-1.1461,0.6123,-0.1329,32.17,-127.44,46.57,-11.0,44.0,-90.0,1.3062,139.44,False
11,Hammer,242,-1.234,0.6152,-0.0819,22.22,-132.39,57.92,-11.0,44.0,-90.0,1.3813,146.2,False
12,Hammer,263,-1.2495,0.6127,-0.0468,13.06,-147.77,65.73,-11.0,44.0,-90.0,1.3924,162.25,False
13,Hammer,288,-1.1571,0.6716,-0.1672,2.56,-166.08,89.17,-11.0,44.0,-90.0,1.3483,188.52,False
14,Hammer,308,-1.1489,0.6936,-0.2795,-2.2,-169.8,115.36,-11.0,44.0,-90.0,1.3709,205.29,False
15,Hammer,334,-1.1216,0.7087,-0.2925,-9.64,-171.63,135.5,-12.0,39.0,-110.0,1.3586,218.88,False
16,Hammer,354,-1.0361,0.7227,-0.3851,-19.71,-165.16,147.34,-12.0,39.0,-110.0,1.3207,222.21,False
17,Hammer,375,-1.0002,0.719,-0.5388,-30.46,-146.3,161.68,-12.0,39.0,-110.0,1.3445,220.17,False
18,Hammer,395,-0.9905,0.6614,-0.5088,-47.06,-118.1,169.31,-12.0,39.0,-110.0,1.2951,211.73,False
19,Hammer,420,-0.8651,0.535,-0.4432,-59.39,-105.65,158.69,-22.0,31.0,-115.0,1.1096,199.68,False
20,Hammer,441,-0.796,0.4915,-0.5143,-62.07,-90.82,155.58,-22.0,31.0,-115.0,1.0675,190.54,False
21,Hammer,466,-0.7098,0.5027,-0.4503,-46.63,-82.4,165.04,-22.0,31.0,-115.0,0.9795,190.27,False
22,Hammer,485,-0.5664,0.5183,-0.3562,-26.86,-88.01,181.03,-22.0,31.0,-115.0,0.8464,203.07,False
23,Hammer,506,-0.5906,0.5264,-0.3857,-24.96,-89.42,204.16,-22.0,31.0,-115.0,0.8801,224.28,False
24,Hammer,532,-0.7992,0.4618,-0.427,-74.22,-82.46,211.36,-32.0,23.0,-117.0,1.017,238.71,False
25,Hammer,552,-1.2986,0.1124,-0.1174,-123.78,-101.38,171.2,-32.0,23.0,-117.0,1.3087,234.33,False
26,Hammer,573,-1.5922,-0.1646,0.2153,-145.39,-150.57,122.5,-32.0,23.0,-117.0,1.6151,242.52,False
27,Hammer,597,-1.9775,-0.4629,0.7653,-77.03,-280.21,101.5,-32.0,23.0,-117.0,2.1704,307.82,False
28,Hammer,619,-2.1228,-0.6125,1.0125,-0.98,-383.73,84.53,-33.0,9.0,-117.0,2.4303,392.93,False
29,Hammer,644,-2.0895,-0.7668,1.3711,50.11,-490.97,25.63,-33.0,9.0,-117.0,2.6142,494.18,False
30,Hammer,666,-1.5637,-1.1361,3.0426,89.84,-607.67,-53.77,-33.0,9.0,-117.0,3.6046,616.62,False
31,Hammer,687,-0.7194,-1.4055,3.9999,131.96,-746.83,-133.54,-33.0,9.0,-117.0,4.3002,770.06,False
32,Hammer,712,0.3102,-1.5731,3.9999,152.22,-939.45,-230.1,-33.0,9.0,-117.0,4.3093,979.13,False
33,Hammer,734,1.4071,-1.7208,3.9803,123.72,-1014.22,-251.89,-38.0,-4.0,-93.0,4.559,1052.33,False
34,Hammer,752,3.6002,-2.3617,3.9999,100.65,-1057.31,-211.0,-38.0,-4.0,-93.0,5.8769,1082.85,False
35,Hammer,777,4.0,-3.1938,3.9999,105.1,-1143.74,101.32,-38.0,-4.0,-93.0,6.4961,1153.02,False
36,Hammer,797,3.9938,-2.8567,3.9996,351.38,-1133.97,554.08,-38.0,-4.0,-93.0,6.3331,1310.1,False
37,Hammer,823,3.9882,1.6023,3.9999,952.51,-584.84,793.58,-31.0,-10.0,-79.0,5.8713,1370.8,False
38,Hammer,842,4.0,4.0,3.9999,837.83,773.25,582.58,-31.0,-10.0,-79.0,6.9281,1280.34,False
39,Hammer,863,4.0,1.704,3.9999,-49.5,1985.9,296.08,-31.0,-10.0,-79.0,5.9078,2008.46,False
40,Hammer,889,3.495,0.6475,2.8253,-196.78,2000.0,315.67,-31.0,-10.0,-79.0,4.5406,2034.3,False
41,Hammer,909,1.0038,0.3123,-2.4225,-145.08,1988.71,288.82,-31.0,-10.0,-79.0,2.6407,2014.8,False
42,Hammer,935,1.3837,0.4465,-2.8857,-279.85,2000.0,46.63,-44.0,17.0,-21.0,3.2313,2020.02,False
43,Hammer,955,1.6492,0.0332,-2.734,-214.11,1999.15,-220.89,-44.0,17.0,-21.0,3.1931,2022.68,False
44,Hammer,976,1.4443,-0.2786,-3.0332,-32.71,1998.35,-347.6,-44.0,17.0,-21.0,3.3711,2028.62,False
45,Hammer,1001,0.9392,-0.0507,-2.9264,182.86,1999.45,-150.7,-44.0,17.0,-21.0,3.0738,2013.44,False
46,Hammer,1022,1.0354,-0.3357,-2.6844,176.64,2000.0,82.76,-39.0,37.0,-70.0,2.8967,2009.49,False
47,Hammer,1047,1.3768,-0.2451,-2.5519,41.93,2000.0,220.83,-39.0,37.0,-70.0,2.91,2012.59,False
48,Hammer,1067,1.4874,-0.2526,-2.7625,-211.73,2000.0,85.82,-39.0,37.0,-70.0,3.1476,2013.01,False
49,Hammer,1087,1.4312,-0.314,-2.9238,-249.02,1999.94,-19.96,-39.0,37.0,-70.0,3.2704,2015.48,False
50,Hammer,1107,1.2139,-0.4512,-2.9819,-142.21,1998.96,-276.67,-39.0,37.0,-70.0,3.251,2023.02,False
51,Hammer,1133,0.9553,-0.1207,-2.8322,21.06,1999.08,-240.54,-30.0,19.0,-121.0,2.9914,2013.61,False
52,Hammer,1154,1.0439,-0.2357,-2.63,147.83,1999.69,-85.08,-30.0,19.0,-121.0,2.8394,2006.96,False
53,Hammer,1178,1.3599,-0.4504,-2.5885,108.34,2000.0,137.57,-30.0,19.0,-121.0,2.9585,2007.65,False
54,Hammer,1197,1.4987,-0.3727,-2.7675,-40.77,2000.0,130.49,-30.0,19.0,-121.0,3.1692,2004.67,False
55,Hammer,1218,1.3915,-0.3275,-2.9265,-171.63,2000.0,13.85,-33.0,-6.0,-112.0,3.257,2007.4,False
56,Hammer,1243,1.2191,-0.3983,-2.9152,-188.6,1999.51,-129.64,-33.0,-6.0,-112.0,3.1848,2012.57,False
57,Hammer,1261,1.1155,-0.3369,-2.7289,-75.32,1999.27,-202.45,-33.0,-6.0,-112.0,2.9673,2010.9,False
58,Hammer,1282,1.0797,-0.3649,-2.5757,83.37,1999.45,-144.23,-33.0,-6.0,-112.0,2.8166,2006.38,False
59,Hammer,1302,1.2158,-0.7726,-2.5195,174.5,2000.0,11.54,-33.0,-6.0,-112.0,2.9023,2007.63,False
60,Hammer,1328,1.5132,-0.6794,-2.7919,123.9,2000.0,126.1,-43.0,-2.0,-53.0,3.2474,2007.8,False
61,Hammer,1349,1.4016,-0.6608,-2.9458,-129.21,2000.0,68.42,-43.0,-2.0,-53.0,3.3285,2005.34,False
62,Hammer,1373,1.2109,-0.7758,-2.9113,-220.03,1999.76,-69.89,-43.0,-2.0,-53.0,3.2471,2013.04,False
63,Hammer,1394,1.0959,-0.7526,-2.7271,-154.72,1999.39,-171.33,-43.0,-2.0,-53.0,3.0339,2012.67,False
64,Hammer,1420,1.0944,-0.5723,-2.5341,7.26,1999.39,-164.31,-46.0,22.0,-36.0,2.819,2006.14,False
65,Hammer,1439,1.3226,-0.7213,-2.5662,159.79,2000.0,-5.37,-46.0,22.0,-36.0,2.9757,2006.38,False
66,Hammer,1460,1.3766,-0.7876,-2.7791,88.32,2000.0,82.03,-46.0,22.0,-36.0,3.1998,2003.63,False
67,Hammer,1480,1.2968,-0.7052,-2.9135,-71.23,2000.0,83.01,-46.0,22.0,-36.0,3.266,2002.99,False
68,Hammer,1505,1.1512,-0.8053,-2.8883,-198.67,2000.0,-7.75,-46.0,22.0,-36.0,3.2119,2009.86,False
69,Hammer,1527,1.0807,-0.8175,-2.7117,-194.52,1999.57,-112.67,-41.0,31.0,-72.0,3.0314,2012.17,False
70,Hammer,1547,1.1893,-0.6193,-2.483,18.74,1999.45,-146.12,-41.0,31.0,-72.0,2.822,2004.87,False
71,Hammer,1570,1.3259,-0.6718,-2.5314,139.28,1999.76,-69.34,-41.0,31.0,-72.0,2.9355,2005.8,False
72,Hammer,1590,1.3524,-0.6782,-2.7479,128.11,2000.0,29.42,-41.0,31.0,-72.0,3.1369,2004.31,False
73,Hammer,1610,1.2769,-0.6798,-2.8777,-5.43,2000.0,80.44,-41.0,31.0,-72.0,3.2208,2001.62,False
74,Hammer,1636,1.1604,-0.7804,-2.8685,-157.78,2000.0,42.54,-37.0,13.0,-112.0,3.1912,2006.66,False
75,Hammer,1657,1.0861,-0.8558,-2.6992,-211.43,1999.82,-48.16,-37.0,13.0,-112.0,3.0328,2011.54,False
76,Hammer,1680,1.2303,-0.7142,-2.4855,-45.29,1999.45,-149.6,-37.0,13.0,-112.0,2.8638,2005.55,False
77,Hammer,1701,1.335,-0.7804,-2.532,102.17,1999.57,-122.07,-37.0,13.0,-112.0,2.9668,2005.9,False
78,Hammer,1723,1.3203,-0.8927,-2.7139,149.23,1999.88,-35.89,-41.0,0.0,-88.0,3.1473,2005.76,False
79,Hammer,1747,1.1803,-0.7714,-2.861,-13.12,2000.0,79.04,-41.0,0.0,-88.0,3.1895,2001.6,False
80,Hammer,1768,1.0828,-0.7737,-2.777,-157.17,2000.0,61.58,-41.0,0.0,-88.0,3.0794,2007.11,False
81,Hammer,1788,1.1261,-0.7562,-2.5963,-194.27,1999.94,-26.25,-41.0,0.0,-88.0,2.9293,2009.52,False
82,Hammer,1813,1.2396,-0.6621,-2.5017,-104.49,1999.57,-122.25,-41.0,0.0,-88.0,2.8694,2006.03,False
83,Hammer,1834,1.3452,-0.7086,-2.5215,38.39,1999.45,-153.2,-50.0,4.0,-51.0,2.9444,2005.68,False
84,Hammer,1858,1.285,-0.8438,-2.7631,131.16,1999.82,-55.73,-50.0,4.0,-51.0,3.1619,2004.89,False
85,Hammer,1879,1.1453,-0.762,-2.8398,47.97,2000.0,44.56,-50.0,4.0,-51.0,3.1555,2001.07,False
86,Hammer,1897,1.0491,-0.7316,-2.7617,-20.87,2000.0,75.68,-50.0,4.0,-51.0,3.0435,2001.54,False
