sample_index,label,time_ms,ax,ay,az,gx,gy,gz,mx,my,mz,accel_mag,gyro_mag,wobble
0,Scoober,0,0.7662,-0.7146,0.1649,242.31,-51.15,132.2,-29.0,4.0,-28.0,1.0606,280.73,False
1,Scoober,19,0.9027,-0.519,0.6755,190.8,-39.43,101.56,-29.0,4.0,-28.0,1.2412,219.71,False
2,Scoober,40,0.8444,-0.6045,0.7241,173.16,-65.8,89.78,-29.0,4.0,-28.0,1.266,205.85,False
3,Scoober,66,0.7998,-0.6772,0.5756,158.57,-79.65,74.1,-29.0,4.0,-28.0,1.1957,192.3,False
4,Scoober,85,0.7222,-0.6132,0.6885,154.05,-92.47,67.38,-29.0,4.0,-28.0,1.1711,191.89,False
5,Scoober,111,0.7354,-0.6974,0.6462,146.36,-105.41,65.12,-36.0,5.0,-26.0,1.202,191.77,False
6,Scoober,130,0.7198,-0.7784,0.6995,130.8,-122.13,56.7,-36.0,5.0,-26.0,1.2702,187.72,False
7,Scoober,150,0.6835,-0.8574,0.8058,132.81,-133.24,49.13,-36.0,5.0,-26.0,1.3607,194.44,False
8,Scoober,170,0.6909,-0.91,0.9104,141.72,-144.9,41.63,-36.0,5.0,-26.0,1.4609,206.91,False
9,Scoober,194,0.7358,-1.025,0.9973,146.97,-157.29,32.47,-36.0,5.0,-26.0,1.6083,217.7,False
10,Scoober,216,0.7983,-1.1528,1.0046,147.52,-168.33,24.84,-44.0,10.0,-22.0,1.725,225.2,False
11,Scoober,241,0.8219,-1.4142,1.0049,161.8,-186.71,29.48,-44.0,10.0,-22.0,1.9197,248.82,False
12,Scoober,261,0.8123,-1.6942,1.1537,175.42,-205.14,30.15,-44.0,10.0,-22.0,2.2048,271.59,False
13,Scoober,283,0.7368,-1.9252,1.2837,200.26,-222.23,21.06,-44.0,10.0,-22.0,2.4284,299.89,False
14,Scoober,309,0.6362,-1.884,1.3683,247.74,-231.2,10.56,-51.0,19.0,-35.0,2.4138,339.03,False
15,Scoober,329,0.705,-1.8373,1.395,251.77,-228.21,0.98,-51.0,19.0,-35.0,2.4122,339.81,False
