sample_index,label,time_ms,ax,ay,az,gx,gy,gz,mx,my,mz,accel_mag,gyro_mag,wobble
0,Backhand,0,1.2056,0.2291,-0.0348,77.21,-48.03,268.74,0.0,-15.0,-122.0,1.2276,283.71,False
1,Backhand,20,1.13,0.209,-0.1938,77.33,-54.5,273.86,16.0,-9.0,-123.0,1.1654,289.75,False
2,Backhand,41,0.9883,0.1935,-0.1754,58.17,-43.03,270.87,16.0,-9.0,-123.0,1.0222,280.37,False
3,Backhand,64,0.8508,0.1298,-0.1359,43.09,-28.32,270.14,16.0,-9.0,-123.0,0.8713,275.02,False
4,Backhand,85,0.6506,0.0874,-0.0785,32.41,-15.44,268.74,16.0,-9.0,-123.0,0.6612,271.13,False
5,Backhand,105,0.4276,0.0641,-0.0094,27.53,-1.59,262.51,16.0,-9.0,-123.0,0.4325,263.96,False
6,Backhand,130,0.1963,-0.1974,0.0052,-0.61,19.59,236.88,23.0,0.0,-122.0,0.2784,237.69,False
7,Backhand,151,0.2783,-0.3165,-0.0189,-51.7,52.73,165.77,23.0,0.0,-122.0,0.4219,181.48,False
8,Backhand,176,0.1665,0.0284,0.1084,-49.74,60.61,106.99,23.0,0.0,-122.0,0.2007,132.65,False
9,Backhand,195,0.5186,0.8599,-0.1322,27.22,53.16,83.62,23.0,0.0,-122.0,1.0128,102.76,False
10,Backhand,216,0.5077,0.6949,-0.29,115.66,36.87,69.52,26.0,8.0,-119.0,0.9082,139.89,False
11,Backhand,240,0.1318,0.9502,-0.0499,97.05,58.53,36.25,26.0,8.0,-119.0,0.9606,118.99,False
12,Backhand,261,0.1173,0.9562,-0.0812,67.99,71.35,38.64,26.0,8.0,-119.0,0.9668,105.86,False
13,Backhand,282,0.0411,0.5986,0.1552,22.4,84.96,61.34,26.0,8.0,-119.0,0.6198,107.16,False
14,Backhand,306,0.0433,0.5061,0.0686,-29.6,98.69,90.64,26.0,8.0,-119.0,0.5126,137.23,False
15,Backhand,328,-0.0176,0.6202,-0.1483,-60.49,104.92,91.86,31.0,9.0,-125.0,0.638,152.0,False
16,Backhand,353,-0.0153,0.5171,-0.1061,-62.74,124.33,55.66,31.0,9.0,-125.0,0.5281,149.98,False
17,Backhand,373,-0.1526,0.5428,-0.1086,-73.0,136.47,44.8,31.0,9.0,-125.0,0.5743,161.12,False
18,Backhand,393,-0.2582,0.6449,-0.2555,-98.75,147.83,50.6,31.0,9.0,-125.0,0.7402,184.84,False
19,Backhand,419,-0.3081,0.5702,-0.3136,-114.14,157.71,53.77,25.0,15.0,-127.0,0.72,201.97,False
20,Backhand,440,-0.3176,0.5348,-0.4083,-105.29,169.31,48.46,25.0,15.0,-127.0,0.7441,205.18,False
21,Backhand,460,-0.3333,0.6837,-0.5039,-82.15,183.23,45.17,25.0,15.0,-127.0,0.9124,205.82,False
22,Backhand,485,-0.3612,0.8154,-0.587,-92.83,191.04,51.76,25.0,15.0,-127.0,1.0677,218.62,False
23,Backhand,505,-0.3899,0.8945,-0.6935,-122.01,201.29,62.5,25.0,15.0,-127.0,1.1971,243.54,False
24,Backhand,531,-0.3549,1.0253,-0.7344,-153.87,213.07,77.15,25.0,22.0,-128.0,1.3101,273.91,False
25,Backhand,549,-0.2856,1.2271,-0.7321,-177.55,228.09,91.19,25.0,22.0,-128.0,1.4571,303.09,False
26,Backhand,570,-0.3174,1.52,-0.7322,-174.19,235.78,79.47,25.0,22.0,-128.0,1.7168,303.73,False
27,Backhand,590,-0.4576,1.7876,-0.6892,-159.0,243.84,51.03,25.0,22.0,-128.0,1.9698,295.53,False
28,Backhand,615,-0.5708,2.0637,-0.6154,-138.61,249.63,20.08,25.0,22.0,-128.0,2.2279,286.24,False
29,Backhand,635,-0.671,2.3948,-0.6886,-117.25,253.3,-24.17,16.0,32.0,-130.0,2.5806,280.16,False
30,Backhand,661,-0.7886,2.8164,-0.8102,-62.56,254.15,-136.29,16.0,32.0,-130.0,3.0349,295.1,False
31,Backhand,681,-0.9237,2.9397,-1.3314,-11.96,244.57,-232.36,16.0,32.0,-130.0,3.3567,337.56,False
32,Backhand,706,-0.6385,2.8257,-1.8247,33.02,235.84,-302.73,16.0,32.0,-130.0,3.4237,385.17,False
33,Backhand,727,-0.2443,2.2878,-2.1206,96.31,215.88,-324.1,22.0,25.0,-109.0,3.129,401.15,False
34,Backhand,752,-0.0868,1.3944,-2.2605,195.43,180.36,-293.52,22.0,25.0,-109.0,2.6574,396.08,False
35,Backhand,771,-0.0176,0.6046,-1.9146,237.12,151.67,-257.69,22.0,25.0,-109.0,2.0078,381.62,False
36,Backhand,791,0.0283,-0.043,-1.5624,252.69,118.1,-225.83,22.0,25.0,-109.0,1.5632,358.88,False
37,Backhand,818,0.2133,-0.4535,-1.2612,234.86,90.82,-204.1,23.0,21.0,-83.0,1.3571,324.14,False
38,Backhand,838,0.3611,-0.5509,-1.1188,205.93,69.76,-184.14,23.0,21.0,-83.0,1.2983,284.93,False
39,Backhand,864,0.5526,-0.5563,-0.9418,145.39,43.46,-154.72,23.0,21.0,-83.0,1.2255,216.71,False
40,Backhand,883,0.6331,-0.6108,-0.7616,78.19,19.23,-132.26,23.0,21.0,-83.0,1.1636,154.84,False
41,Backhand,903,0.684,-0.6445,-0.7488,13.0,-12.08,-108.83,23.0,21.0,-83.0,1.2016,110.26,False
42,Backhand,929,0.7469,-0.6511,-0.8149,-30.03,-44.43,-87.34,18.0,9.0,-81.0,1.283,102.49,False
43,Backhand,949,0.7328,-0.5277,-0.9541,-59.63,-78.06,-58.65,18.0,9.0,-81.0,1.3137,114.41,False
44,Backhand,969,0.6399,-0.3817,-1.8684,-114.07,-159.0,8.67,18.0,9.0,-81.0,2.0115,195.88,False
45,Backhand,994,1.8483,-0.0112,-3.031,-133.36,-217.77,5.0,18.0,9.0,-81.0,3.5501,255.41,False
46,Backhand,1016,4.0,0.2427,-2.8663,-168.88,-289.12,-78.31,26.0,9.0,-90.0,4.9269,343.87,False
47,Backhand,1037,4.0,-1.6031,-1.0897,-305.11,-660.95,-146.55,26.0,9.0,-90.0,4.445,742.58,False
48,Backhand,1060,3.9769,-1.8334,-1.8384,-278.08,-1142.88,31.37,26.0,9.0,-90.0,4.7494,1176.64,False
49,Backhand,1081,4.0,-1.4622,-4.0,-386.35,-1651.79,186.77,26.0,9.0,-90.0,5.8428,1706.63,False
50,Backhand,1101,4.0,0.9043,-4.0,-226.87,-1999.63,78.86,26.0,9.0,-90.0,5.7287,2014.01,False
51,Backhand,1127,1.7659,1.5148,-2.4651,-47.61,-1999.94,-92.83,25.0,6.0,-97.0,3.3896,2002.66,False
52,Backhand,1147,0.4019,1.0059,-1.5894,-121.46,-1994.63,10.8,25.0,6.0,-97.0,1.9234,1998.35,False
53,Backhand,1167,1.0177,0.9834,-1.569,-93.81,-1999.51,121.22,25.0,6.0,-97.0,2.1129,2005.38,False
54,Backhand,1192,0.8634,1.0143,-1.3801,10.5,-1999.45,130.55,25.0,6.0,-97.0,1.9181,2003.74,False
55,Backhand,1212,0.7174,0.7001,-1.3982,100.52,-1999.51,98.14,25.0,6.0,-97.0,1.7204,2004.44,False
