sample_index,label,time_ms,ax,ay,az,gx,gy,gz,mx,my,mz,accel_mag,gyro_mag,wobble
0,Backhand,0,0.8083,0.3949,-0.161,63.84,137.21,-86.91,15.0,-12.0,-107.0,0.9139,174.52,False
1,Backhand,20,0.8234,0.4227,-0.1371,83.25,147.95,-76.48,15.0,-12.0,-107.0,0.9356,186.2,False
2,Backhand,41,0.699,0.5037,-0.1176,94.12,152.22,-66.71,15.0,-12.0,-107.0,0.8695,191.0,False
3,Backhand,65,0.7111,0.637,-0.1826,92.16,150.21,-67.02,15.0,-12.0,-107.0,0.9719,188.54,False
4,Backhand,85,0.8053,0.7064,-0.2347,89.17,149.05,-82.64,15.0,-12.0,-107.0,1.0966,192.35,False
5,Backhand,111,0.8779,0.6531,-0.2029,83.74,150.63,-94.85,17.0,-12.0,-112.0,1.1128,196.72,False
6,Backhand,132,0.8971,0.655,-0.1635,85.69,160.4,-89.6,17.0,-12.0,-112.0,1.1227,202.73,False
7,Backhand,150,0.9137,0.7142,-0.1335,91.19,167.11,-70.8,17.0,-12.0,-112.0,1.1674,203.11,False
8,Backhand,170,0.979,0.799,-0.1163,93.44,176.7,-51.21,17.0,-12.0,-112.0,1.269,206.34,False
9,Backhand,191,1.0176,0.9425,-0.1617,90.88,187.19,-45.9,14.0,-11.0,-126.0,1.3964,213.09,False
10,Backhand,217,1.0632,1.2607,-0.1787,101.93,198.12,-61.58,14.0,-11.0,-126.0,1.6589,231.16,False
11,Backhand,236,1.095,1.3856,-0.144,115.78,199.46,-53.77,14.0,-11.0,-126.0,1.7719,236.82,False
12,Backhand,255,1.1514,1.611,-0.0865,131.77,196.72,-26.12,14.0,-11.0,-126.0,1.982,238.21,False
13,Backhand,275,1.1736,1.7543,-0.041,152.1,194.09,12.21,14.0,-11.0,-126.0,2.111,246.89,False
14,Backhand,301,1.2762,1.9111,0.0637,175.35,190.61,60.67,20.0,-5.0,-129.0,2.299,266.01,False
15,Backhand,321,1.4005,1.7629,0.0748,193.54,182.5,112.85,20.0,-5.0,-129.0,2.2528,288.96,False
16,Backhand,342,1.6031,1.5438,0.2605,200.99,164.73,177.55,20.0,-5.0,-129.0,2.2408,314.74,False
17,Backhand,366,1.6755,1.278,0.3893,190.0,149.78,212.1,20.0,-5.0,-129.0,2.1429,321.75,False
18,Backhand,384,1.5823,0.9572,0.5098,177.37,142.4,221.19,20.0,-5.0,-129.0,1.9182,317.27,False
19,Backhand,409,1.5522,0.7723,0.5792,124.02,119.08,221.25,28.0,5.0,-119.0,1.828,280.2,False
20,Backhand,430,1.2194,0.2249,0.6552,91.86,101.93,214.72,28.0,5.0,-119.0,1.4024,254.82,False
21,Backhand,451,0.9387,-0.0049,0.7147,74.77,82.34,202.51,28.0,5.0,-119.0,1.1799,231.04,False
22,Backhand,475,0.5922,-0.1719,0.9769,73.49,55.91,182.98,28.0,5.0,-119.0,1.1552,204.96,False
23,Backhand,493,0.5322,-0.1952,1.2177,74.89,17.82,144.35,28.0,18.0,-108.0,1.3431,163.59,False
24,Backhand,514,0.5062,-0.1688,1.2855,60.0,-3.11,105.77,28.0,18.0,-108.0,1.3919,121.65,False
25,Backhand,538,0.4662,-0.2168,1.4058,45.1,-26.0,56.27,28.0,18.0,-108.0,1.4968,76.66,False
26,Backhand,553,0.5278,-0.3407,1.4935,41.69,-56.46,13.06,28.0,18.0,-108.0,1.6203,71.39,False
27,Backhand,574,0.8682,-0.3639,1.6172,48.83,-99.61,-17.64,28.0,18.0,-108.0,1.8712,112.33,False
28,Backhand,599,1.5107,-0.2213,1.8735,62.38,-161.74,-47.55,24.0,15.0,-112.0,2.4169,179.76,False
29,Backhand,620,2.396,0.0093,2.3488,93.38,-228.45,-68.85,24.0,15.0,-112.0,3.3552,256.23,False
30,Backhand,644,1.656,0.1108,3.6801,137.7,-300.05,-68.85,24.0,15.0,-112.0,4.037,337.24,False
31,Backhand,665,-0.2708,-0.9653,3.9999,191.22,-482.67,-179.99,24.0,15.0,-112.0,4.1236,549.48,False
32,Backhand,689,-0.1959,-1.7727,3.9778,-47.24,-1074.28,-352.72,24.0,15.0,-112.0,4.3593,1131.69,False
33,Backhand,710,2.0881,-1.228,3.9999,-276.25,-1615.48,-332.82,23.0,4.0,-96.0,4.6763,1672.38,False
34,Backhand,735,1.1597,1.4542,1.7186,-254.33,-1999.94,7.63,23.0,4.0,-96.0,2.5324,2016.06,False
35,Backhand,755,0.8729,1.3092,-0.9899,-31.19,-1999.27,172.12,23.0,4.0,-96.0,1.859,2006.91,False
36,Backhand,776,0.7809,1.3944,-1.3973,11.9,-1993.71,156.86,23.0,4.0,-96.0,2.1229,1999.91,False
37,Backhand,801,0.6279,1.0269,-1.3088,135.19,-1999.63,91.55,28.0,18.0,-114.0,1.7781,2006.29,False
38,Backhand,822,0.5029,0.9452,-1.5092,154.54,-1999.88,23.62,28.0,18.0,-114.0,1.8504,2005.98,False
39,Backhand,847,0.5404,1.0977,-1.7101,91.55,-1999.94,-49.5,28.0,18.0,-114.0,2.1027,2002.65,False
40,Backhand,866,0.6696,1.0321,-1.76,15.26,-1999.94,-61.77,28.0,18.0,-114.0,2.1474,2000.95,False
41,Backhand,886,0.8199,0.6086,-1.707,-55.18,-1999.94,-40.83,28.0,18.0,-114.0,1.9891,2001.12,False
42,Backhand,912,0.8982,0.4832,-1.5665,-104.0,-1999.94,-1.34,24.0,9.0,-88.0,1.8693,2002.64,False
43,Backhand,933,0.8535,0.6862,-1.3831,-96.74,-1999.82,44.43,24.0,9.0,-88.0,1.7641,2002.65,False
44,Backhand,953,0.728,0.7107,-1.3563,-49.93,-1999.63,92.9,24.0,9.0,-88.0,1.6955,2002.41,False
45,Backhand,977,0.6144,0.6425,-1.4381,27.34,-1999.51,120.48,24.0,9.0,-88.0,1.6907,2003.32,False
46,Backhand,998,0.5314,0.7401,-1.5474,82.34,-1999.57,102.84,30.0,12.0,-115.0,1.7957,2003.91,False
47,Backhand,1021,0.5714,0.8271,-1.6837,110.41,-1999.69,70.92,30.0,12.0,-115.0,1.961,2004.0,False
48,Backhand,1041,0.7096,0.9354,-1.7162,104.25,-1999.88,21.18,30.0,12.0,-115.0,2.0794,2002.71,False
49,Backhand,1062,0.7979,0.9059,-1.6222,79.77,-1999.94,-25.57,30.0,12.0,-115.0,2.0221,2001.69,False
50,Backhand,1088,0.7931,0.8129,-1.4976,7.39,-1999.94,-40.77,30.0,12.0,-115.0,1.8795,2000.37,False
51,Backhand,1109,0.7284,0.9618,-1.415,-38.27,-1999.94,-10.01,22.0,15.0,-87.0,1.8596,2000.33,False
52,Backhand,1125,0.6211,1.1127,-1.3921,-54.14,-1999.82,41.93,22.0,15.0,-87.0,1.8872,2000.99,False
53,Backhand,1150,0.5875,1.1304,-1.4714,-42.42,-1999.63,86.12,22.0,15.0,-87.0,1.9463,2001.94,False
54,Backhand,1169,0.5604,1.0977,-1.531,0.79,-1999.57,101.75,22.0,15.0,-87.0,1.9654,2002.16,False
55,Backhand,1190,0.5903,1.1125,-1.631,54.81,-1999.63,92.04,22.0,15.0,-87.0,2.0607,2002.5,False
56,Backhand,1217,0.6921,1.1868,-1.7052,85.45,-1999.76,61.52,26.0,6.0,-104.0,2.1898,2002.53,False
57,Backhand,1237,0.8394,1.162,-1.5938,72.94,-1999.94,2.08,26.0,6.0,-104.0,2.1435,2001.27,False
58,Backhand,1256,0.8464,0.9667,-1.46,42.6,-1999.94,-21.79,26.0,6.0,-104.0,1.9448,2000.51,False
59,Backhand,1273,0.769,0.9014,-1.3337,12.21,-1999.94,-27.1,26.0,6.0,-104.0,1.784,2000.16,False
60,Backhand,1295,0.7004,0.8661,-1.3097,2.99,-1999.94,-21.3,24.0,17.0,-104.0,1.7193,2000.05,False
61,Backhand,1321,0.5299,0.7775,-1.4012,-5.68,-1999.94,15.26,24.0,17.0,-104.0,1.6878,2000.01,False
62,Backhand,1340,0.5343,0.7279,-1.5081,-1.34,-1999.82,42.05,24.0,17.0,-104.0,1.7577,2000.26,False
63,Backhand,1361,0.5847,0.7097,-1.5958,13.24,-1999.76,57.68,24.0,17.0,-104.0,1.8418,2000.63,False
64,Backhand,1386,0.7334,0.8322,-1.5779,46.39,-1999.76,51.88,24.0,17.0,-104.0,1.9287,2000.97,False
65,Backhand,1407,0.7567,0.9424,-1.5061,70.86,-1999.82,35.83,22.0,8.0,-89.0,1.9311,2001.39,False
66,Backhand,1427,0.7344,1.0681,-1.4628,75.44,-1999.88,23.38,22.0,8.0,-89.0,1.9544,2001.44,False
67,Backhand,1451,0.6979,1.0524,-1.4392,49.32,-1999.94,14.65,22.0,8.0,-89.0,1.9146,2000.6,False
68,Backhand,1472,0.6387,1.0831,-1.4252,13.61,-1999.94,14.47,22.0,8.0,-89.0,1.9006,2000.04,False
69,Backhand,1491,0.5793,1.1272,-1.4342,-15.2,-1999.88,30.88,22.0,8.0,-89.0,1.9139,2000.17,False
70,Backhand,1516,0.5255,0.7963,-1.5486,-12.08,-1999.82,43.21,25.0,12.0,-115.0,1.8189,2000.32,False
71,Backhand,1536,0.6072,0.6754,-1.6279,14.53,-1999.69,77.39,25.0,12.0,-115.0,1.8641,2001.24,False
72,Backhand,1562,0.722,0.8041,-1.6111,36.25,-1999.69,77.39,25.0,12.0,-115.0,1.94,2001.52,False
73,Backhand,1582,0.7822,0.8417,-1.536,59.14,-1999.76,58.29,25.0,12.0,-115.0,1.9182,2001.48,False
74,Backhand,1604,0.7819,0.7874,-1.4646,68.48,-1999.82,31.68,22.0,13.0,-79.0,1.8375,2001.24,False
75,Backhand,1626,0.6851,0.8026,-1.3848,41.75,-1999.94,4.94,22.0,13.0,-79.0,1.741,2000.38,False
76,Backhand,1646,0.6132,0.8109,-1.4104,11.9,-1999.94,4.82,22.0,13.0,-79.0,1.7386,1999.98,False
77,Backhand,1666,0.5836,0.858,-1.451,-12.33,-1999.94,13.43,22.0,13.0,-79.0,1.7839,2000.02,False
78,Backhand,1691,0.5851,0.8878,-1.4968,-17.58,-1999.88,25.33,22.0,13.0,-79.0,1.836,2000.12,False
79,Backhand,1712,0.627,0.8856,-1.5413,-3.23,-1999.82,39.06,27.0,8.0,-109.0,1.8849,2000.2,False
80,Backhand,1732,0.7236,0.8723,-1.5461,31.62,-1999.76,50.6,27.0,8.0,-109.0,1.9171,2000.65,False
81,Backhand,1756,0.7744,0.8749,-1.5011,41.93,-1999.82,45.59,27.0,8.0,-109.0,1.9022,2000.78,False
82,Backhand,1777,0.7566,0.8214,-1.4042,42.48,-1999.82,34.0,27.0,8.0,-109.0,1.7941,2000.56,False
83,Backhand,1799,0.6648,0.8289,-1.3744,36.56,-1999.88,28.08,26.0,19.0,-98.0,1.7372,2000.41,False
84,Backhand,1816,0.6095,0.8911,-1.4208,16.91,-1999.88,24.78,26.0,19.0,-98.0,1.7844,2000.1,False
85,Backhand,1837,0.5946,0.9305,-1.4749,-7.75,-1999.88,23.8,26.0,19.0,-98.0,1.8425,2000.03,False
86,Backhand,1859,0.6027,0.9254,-1.5023,-14.04,-1999.88,30.58,26.0,19.0,-98.0,1.8646,2000.16,False
87,Backhand,1879,0.6311,0.8846,-1.5089,3.17,-1999.82,38.02,26.0,19.0,-98.0,1.8595,2000.18,False
88,Backhand,1905,0.6708,0.9104,-1.4998,31.56,-1999.82,42.66,24.0,4.0,-89.0,1.8783,2000.52,False
89,Backhand,1926,0.6956,0.9895,-1.4551,69.7,-1999.82,40.83,24.0,4.0,-89.0,1.8921,2001.45,False
90,Backhand,1947,0.6842,0.9861,-1.4406,70.19,-1999.82,34.61,24.0,4.0,-89.0,1.875,2001.35,False
91,Backhand,1967,0.6625,0.9373,-1.4089,50.35,-1999.88,25.39,24.0,4.0,-89.0,1.8173,2000.67,False
92,Backhand,1987,0.6246,0.8911,-1.4053,22.46,-1999.88,15.69,24.0,4.0,-89.0,1.7774,2000.07,False
93,Backhand,2006,0.6117,0.934,-1.4319,8.48,-1999.94,11.84,27.0,15.0,-116.0,1.8157,1999.99,False
94,Backhand,2023,0.3889,1.0034,-1.5948,-6.47,-1991.52,3.17,27.0,15.0,-116.0,1.924,1991.53,False
95,Backhand,2044,-1.1439,1.6667,-2.4808,35.52,-1896.36,6.23,27.0,15.0,-116.0,3.2002,1896.71,False
96,Backhand,2065,-3.7307,0.7943,-3.86,-112.92,-614.93,21.61,27.0,15.0,-116.0,5.4267,625.58,False
97,Backhand,2090,-2.7439,0.5958,-1.999,-104.06,-41.87,63.35,27.0,15.0,-116.0,3.4467,128.83,False
98,Backhand,2112,0.468,2.8278,-0.4054,94.24,-152.47,-33.57,26.0,2.0,-111.0,2.8948,182.36,False
99,Backhand,2133,0.9763,4.0,-0.9814,390.2,-103.39,-154.66,26.0,2.0,-111.0,4.2328,432.28,False
100,Backhand,2157,-0.0608,3.1934,0.032,393.07,-94.3,-326.72,26.0,2.0,-111.0,3.1941,519.75,False
101,Backhand,2178,0.1904,0.6604,0.6201,224.67,-88.44,-190.67,26.0,2.0,-111.0,0.9257,307.66,False
102,Backhand,2203,0.629,1.2461,0.521,40.22,-64.39,44.19,19.0,-1.0,-88.0,1.4899,87.85,False
103,Backhand,2224,0.4366,2.7129,0.2072,28.81,-42.18,94.73,19.0,-1.0,-88.0,2.7556,107.62,False
