sample_index,label,time_ms,ax,ay,az,gx,gy,gz,mx,my,mz,accel_mag,gyro_mag,wobble
0,Backhand,0,0.4403,0.9653,-0.9584,-48.46,-1814.58,304.5,24.0,-3.0,-115.0,1.4298,1840.59,False
1,Backhand,43,0.2764,0.4493,-1.29,364.93,-1807.92,205.02,24.0,-3.0,-115.0,1.3937,1855.74,False
2,Backhand,88,0.5737,0.9393,-1.2834,341.19,-1807.13,-152.59,24.0,-3.0,-115.0,1.6908,1845.37,False
3,Backhand,133,0.7513,0.6349,-1.1852,-1.71,-1808.53,-347.53,13.0,34.0,-83.0,1.5402,1841.62,False
4,Backhand,174,0.457,0.9009,-0.9019,-331.73,-1807.86,-118.53,13.0,34.0,-83.0,1.3542,1841.86,False
5,Backhand,214,0.3873,0.9335,-1.0062,-249.69,-1803.59,241.82,21.0,-6.0,-103.0,1.4261,1836.78,False
6,Backhand,257,0.4023,0.491,-1.2615,106.08,-1797.55,346.07,21.0,-6.0,-103.0,1.4122,1833.63,False
7,Backhand,298,0.7048,1.1392,-1.2882,304.02,-1793.88,109.92,16.0,34.0,-95.0,1.8585,1822.78,False
8,Backhand,338,0.5836,0.7721,-1.1038,234.07,-1793.27,-165.28,16.0,34.0,-95.0,1.468,1816.02,False
9,Backhand,379,0.4664,0.7417,-0.8853,-27.16,-1794.13,-256.1,16.0,34.0,-95.0,1.2455,1812.52,False
10,Backhand,426,0.3531,1.0048,-1.0735,-194.89,-1792.85,5.74,17.0,-5.0,-98.0,1.5122,1803.42,False
11,Backhand,466,0.4889,0.6592,-1.1501,-61.4,-1789.06,147.28,17.0,-5.0,-98.0,1.4129,1796.16,False
12,Backhand,510,0.6475,0.9215,-1.1586,86.3,-1785.46,128.91,17.0,32.0,-98.0,1.6158,1792.19,False
13,Backhand,553,0.5867,0.8676,-1.0298,139.4,-1782.9,-20.51,17.0,32.0,-98.0,1.4688,1788.46,False
14,Backhand,592,0.3962,0.8335,-0.9685,37.29,-1782.1,-96.13,17.0,32.0,-98.0,1.3378,1785.08,False
15,Backhand,638,0.3535,0.8716,-1.1162,-58.84,-1781.01,-41.44,19.0,-4.0,-99.0,1.4596,1782.46,False
16,Backhand,674,0.5029,0.61,-1.1509,-59.33,-1778.38,49.32,19.0,-4.0,-99.0,1.3963,1780.05,False
17,Backhand,718,0.6198,0.7848,-1.0924,18.37,-1775.39,79.9,17.0,34.0,-94.0,1.481,1777.28,False
18,Backhand,757,0.5413,0.6958,-0.9834,73.61,-1773.25,38.88,17.0,34.0,-94.0,1.3207,1775.21,False
19,Backhand,799,0.4333,0.5602,-0.9924,63.17,-1771.61,-15.87,17.0,-4.0,-101.0,1.2192,1772.8,False
20,Backhand,840,0.4153,0.674,-1.1154,17.03,-1770.51,-36.62,17.0,-4.0,-101.0,1.3677,1770.97,False
21,Backhand,883,0.4843,0.6295,-1.109,-13.43,-1768.37,-2.08,17.0,-4.0,-101.0,1.3641,1768.42,False
22,Backhand,927,0.5442,0.7319,-1.0414,14.04,-1765.99,37.29,20.0,36.0,-91.0,1.3843,1766.44,False
23,Backhand,968,0.484,0.7164,-0.9906,39.67,-1764.04,43.33,20.0,36.0,-91.0,1.3148,1765.02,False
24,Backhand,1007,0.4543,0.7242,-1.0413,29.72,-1762.33,11.11,19.0,-5.0,-104.0,1.3473,1762.61,False
25,Backhand,1051,0.4906,0.873,-1.0483,5.19,-1760.99,-32.71,19.0,-5.0,-104.0,1.4498,1761.3,False
26,Backhand,1090,0.4852,0.9901,-1.0225,0.67,-1759.22,-37.72,19.0,-5.0,-104.0,1.5037,1759.62,False
27,Backhand,1133,0.4672,0.9272,-1.0413,15.62,-1756.71,36.62,15.0,34.0,-83.0,1.4705,1757.16,False
28,Backhand,1176,1.5533,1.0906,0.3784,-69.95,-1685.0,107.67,15.0,34.0,-83.0,1.9353,1689.88,False
