sample_index,label,time_ms,ax,ay,az,gx,gy,gz,mx,my,mz,accel_mag,gyro_mag,wobble
0,Forehand,0,-0.3406,0.8363,0.1617,-14.22,-44.31,-10.07,15.0,3.0,-83.0,0.9174,47.61,False
1,Forehand,19,-0.3673,0.8943,0.1562,-1.34,-40.95,-17.88,15.0,3.0,-83.0,0.9793,44.71,False
2,Forehand,44,-0.36,0.908,0.156,5.74,-41.63,-17.64,16.0,7.0,-83.0,0.9891,45.57,False
3,Forehand,65,-0.3513,0.9131,0.1482,13.06,-43.82,-16.85,16.0,7.0,-83.0,0.9895,48.73,False
4,Forehand,85,-0.334,0.9559,0.1481,18.01,-46.26,-16.54,16.0,7.0,-83.0,1.0234,52.33,False
5,Forehand,110,-0.3857,1.0656,0.1549,15.93,-48.28,-13.18,16.0,7.0,-83.0,1.1438,52.52,False
6,Forehand,131,-0.4038,1.0681,0.1531,4.76,-53.22,-2.93,16.0,7.0,-83.0,1.1521,53.52,False
7,Forehand,156,-0.3906,1.074,0.1461,-7.26,-58.59,-3.3,16.0,8.0,-81.0,1.1521,59.13,False
8,Forehand,177,-0.4252,1.0236,0.1499,-19.17,-66.41,-9.22,16.0,8.0,-81.0,1.1184,69.73,False
9,Forehand,198,-0.3501,0.9753,0.2217,-20.45,-77.76,-4.64,16.0,8.0,-81.0,1.0597,80.54,False
10,Forehand,223,-0.3669,1.0846,0.1788,-21.85,-86.0,21.67,16.0,8.0,-81.0,1.1589,91.34,False
11,Forehand,244,-0.422,1.1312,0.1813,-28.87,-94.54,35.64,16.0,9.0,-79.0,1.2209,105.08,False
12,Forehand,264,-0.4437,1.1017,0.1364,-38.82,-102.6,34.91,16.0,9.0,-79.0,1.1955,115.12,False
13,Forehand,287,-0.4283,1.028,0.0833,-48.46,-104.0,28.26,16.0,9.0,-79.0,1.1167,118.17,False
14,Forehand,308,-0.4486,0.9602,0.0114,-56.21,-99.3,25.76,16.0,9.0,-79.0,1.0599,116.98,False
15,Forehand,329,-0.6376,0.8682,-0.0193,-61.95,-100.22,27.16,16.0,9.0,-79.0,1.0773,120.91,False
16,Forehand,355,-0.7767,0.8053,0.0593,-54.87,-117.61,31.49,16.0,10.0,-86.0,1.1204,133.55,False
17,Forehand,375,-0.7866,0.7949,0.1156,-44.37,-125.37,36.62,16.0,10.0,-86.0,1.1243,137.94,False
18,Forehand,401,-0.7323,0.8656,0.1749,-33.39,-137.21,35.16,16.0,10.0,-86.0,1.1472,145.52,False
19,Forehand,420,-0.6827,0.9199,0.1735,-35.34,-137.27,32.96,16.0,10.0,-86.0,1.1587,145.53,False
20,Forehand,442,-0.7281,0.962,0.2789,-42.18,-137.27,29.17,17.0,13.0,-90.0,1.2384,146.53,False
21,Forehand,464,-0.793,1.0059,0.3108,-46.57,-149.66,33.81,17.0,13.0,-90.0,1.318,160.34,False
22,Forehand,484,-0.8699,1.0677,0.3871,-51.88,-168.76,40.95,17.0,13.0,-90.0,1.4306,181.24,False
23,Forehand,503,-0.9885,1.1022,0.5481,-49.5,-197.39,45.17,17.0,13.0,-90.0,1.5787,208.45,False
24,Forehand,524,-1.1232,1.1029,0.7114,-46.08,-242.43,46.39,17.0,13.0,-90.0,1.7274,251.09,False
25,Forehand,550,-1.2603,1.1105,0.8087,-56.4,-305.18,48.28,20.0,16.0,-95.0,1.8642,314.08,False
26,Forehand,571,-1.4443,0.939,0.9561,-125.24,-428.34,-9.28,20.0,16.0,-95.0,1.9702,446.38,False
27,Forehand,594,-1.3289,0.6031,1.1002,-206.79,-521.06,-101.93,20.0,16.0,-95.0,1.8276,569.78,False
28,Forehand,614,-1.0848,0.083,1.6018,-278.81,-609.07,-123.66,20.0,16.0,-95.0,1.9364,681.17,False
29,Forehand,633,-0.9926,-0.6071,2.5208,-301.27,-693.73,-40.47,20.0,16.0,-95.0,2.7763,757.4,False
30,Forehand,657,-0.7856,-1.3046,3.5597,-265.62,-793.76,77.88,20.0,7.0,-115.0,3.8718,840.64,False
31,Forehand,678,0.7421,-2.2209,3.9999,-132.14,-960.63,310.97,20.0,7.0,-115.0,4.6349,1018.32,False
32,Forehand,702,3.2714,-1.8729,3.9888,83.07,-1038.76,433.9,20.0,7.0,-115.0,5.4882,1128.8,False
33,Forehand,722,4.0,-0.0153,3.9971,531.07,-926.15,456.79,20.0,7.0,-115.0,5.6548,1161.22,False
34,Forehand,748,3.9923,2.4027,3.9999,890.81,-280.33,556.34,11.0,19.0,-73.0,6.1409,1087.03,False
35,Forehand,764,3.9789,2.4312,3.9998,518.86,882.2,727.78,11.0,19.0,-73.0,6.1433,1255.85,False
36,Forehand,785,3.3291,0.7666,3.9998,-263.61,1824.89,515.69,11.0,19.0,-73.0,5.2601,1914.59,False
37,Forehand,809,0.6538,1.9988,3.6263,-331.36,2000.0,194.7,11.0,19.0,-73.0,4.192,2036.59,False
38,Forehand,829,0.9034,1.1774,-2.4232,-103.21,1991.09,111.57,11.0,19.0,-73.0,2.8415,1996.88,False
39,Forehand,855,1.0563,1.1095,-2.3236,-166.26,1999.76,8.67,22.0,13.0,-121.0,2.7831,2006.67,False
40,Forehand,876,1.2504,0.861,-2.035,-119.45,1999.57,-122.56,22.0,13.0,-121.0,2.5389,2006.88,False
41,Forehand,897,1.1787,0.6382,-2.3314,-28.93,1999.08,-188.78,22.0,13.0,-121.0,2.6893,2008.19,False
42,Forehand,921,0.8126,0.7897,-2.4084,70.25,1999.51,-137.76,22.0,13.0,-121.0,2.6617,2005.48,False
43,Forehand,943,0.785,0.634,-2.2135,97.05,1999.88,-40.41,19.0,5.0,-98.0,2.4327,2002.64,False
44,Forehand,969,0.833,0.6232,-2.067,70.86,2000.0,38.76,19.0,5.0,-98.0,2.314,2001.63,False
45,Forehand,988,0.9645,0.7579,-1.9362,5.86,2000.0,92.1,19.0,5.0,-98.0,2.292,2002.13,False
46,Forehand,1006,1.1658,0.832,-2.0143,-65.43,2000.0,69.82,19.0,5.0,-98.0,2.4716,2002.29,False
47,Forehand,1027,1.1934,0.7775,-2.1826,-121.89,1999.88,-44.98,19.0,5.0,-98.0,2.6062,2004.09,False
48,Forehand,1053,0.9965,0.6072,-2.2975,-89.05,1999.63,-106.2,16.0,16.0,-80.0,2.5768,2004.43,False
49,Forehand,1072,0.8201,0.8088,-2.283,-35.22,1999.51,-126.4,16.0,16.0,-80.0,2.5571,2003.81,False
50,Forehand,1097,0.7457,0.9275,-2.1207,20.57,1999.63,-95.46,16.0,16.0,-80.0,2.4318,2002.02,False
51,Forehand,1118,0.8506,0.7611,-2.0176,48.52,1999.88,-44.56,16.0,16.0,-80.0,2.3181,2000.96,False
52,Forehand,1138,0.9979,0.743,-1.9841,34.12,2000.0,3.54,16.0,16.0,-80.0,2.342,2000.29,False
53,Forehand,1163,1.1656,0.8782,-2.1405,-25.09,2000.0,15.44,24.0,18.0,-110.0,2.5907,2000.22,False
54,Forehand,1183,1.0989,0.8635,-2.2898,-61.83,1999.94,-17.33,24.0,18.0,-110.0,2.6826,2000.97,False
55,Forehand,1205,0.9342,0.7013,-2.2933,-71.04,1999.82,-55.24,24.0,18.0,-110.0,2.5737,2001.84,False
56,Forehand,1226,0.8145,0.7476,-2.1992,-50.17,1999.76,-77.33,24.0,18.0,-110.0,2.4615,2001.88,False
57,Forehand,1251,0.8014,0.8298,-2.0602,-13.61,1999.76,-77.15,23.0,3.0,-106.0,2.3612,2001.29,False
58,Forehand,1272,0.9612,0.7407,-1.9822,19.23,1999.88,-39.18,23.0,3.0,-106.0,2.3241,2000.35,False
59,Forehand,1293,1.074,0.7328,-2.0333,10.8,2000.0,-12.76,23.0,3.0,-106.0,2.4135,2000.07,False
60,Forehand,1317,1.1124,0.7952,-2.1609,-11.96,2000.0,-5.0,23.0,3.0,-106.0,2.5572,2000.04,False
61,Forehand,1334,1.0222,0.8082,-2.2664,-40.04,2000.0,-15.26,23.0,3.0,-106.0,2.6143,2000.46,False
62,Forehand,1361,0.8876,0.7085,-2.2336,-52.73,1999.88,-34.73,19.0,13.0,-81.0,2.5058,2000.87,False
63,Forehand,1380,0.8223,0.7704,-2.0728,-40.22,1999.82,-55.54,19.0,13.0,-81.0,2.3592,2000.99,False
64,Forehand,1400,0.8704,0.8229,-1.9786,-17.76,1999.82,-61.34,19.0,13.0,-81.0,2.3129,2000.84,False
