sample_index,label,time_ms,ax,ay,az,gx,gy,gz,mx,my,mz,accel_mag,gyro_mag,wobble
0,Forehand,0,-0.8359,0.7018,-0.2191,34.3,-51.51,-35.22,13.0,28.0,-77.0,1.1132,71.21,False
1,Forehand,24,-0.8728,0.6949,-0.2352,39.0,-53.77,-31.37,13.0,28.0,-77.0,1.1402,73.46,False
2,Forehand,44,-0.8242,0.7035,-0.2422,50.35,-58.47,-22.83,13.0,28.0,-77.0,1.1104,80.47,False
3,Forehand,65,-0.7804,0.7307,-0.2537,51.09,-60.0,-19.96,13.0,28.0,-77.0,1.0988,81.29,False
4,Forehand,91,-0.7618,0.7328,-0.2295,49.93,-57.92,-22.28,18.0,27.0,-78.0,1.0817,79.65,False
5,Forehand,111,-0.8107,0.7056,-0.199,53.65,-58.29,-31.19,18.0,27.0,-78.0,1.093,85.14,False
6,Forehand,136,-0.7488,0.6881,-0.0781,63.78,-67.5,-28.99,18.0,27.0,-78.0,1.0199,97.29,False
7,Forehand,156,-0.7904,0.718,-0.079,66.35,-75.74,-22.71,18.0,27.0,-78.0,1.0708,103.22,False
8,Forehand,177,-0.8331,0.7296,-0.0477,65.86,-97.9,-14.28,14.0,29.0,-72.0,1.1085,118.85,False
9,Forehand,201,-0.7007,0.8512,-0.0311,57.98,-112.3,-17.88,14.0,29.0,-72.0,1.1029,127.65,False
10,Forehand,222,-0.5503,0.9116,-0.0205,38.76,-112.06,-26.86,14.0,29.0,-72.0,1.065,121.58,False
11,Forehand,243,-0.4846,0.912,0.0167,16.85,-106.81,-27.77,14.0,29.0,-72.0,1.0329,111.64,False
12,Forehand,268,-0.505,0.8955,0.1204,5.25,-99.18,-23.44,14.0,29.0,-72.0,1.0351,102.05,False
13,Forehand,289,-0.4731,0.9265,0.1558,8.85,-98.94,-18.37,16.0,29.0,-78.0,1.0519,101.02,False
14,Forehand,310,-0.3743,1.0306,0.0406,-1.89,-98.82,-1.53,16.0,29.0,-78.0,1.0972,98.85,False
15,Forehand,333,-0.3455,1.0634,0.0205,-8.67,-98.33,-1.34,16.0,29.0,-78.0,1.1183,98.72,False
16,Forehand,353,-0.2922,1.1042,-0.0062,-36.07,-94.24,-7.87,16.0,29.0,-78.0,1.1423,101.21,False
17,Forehand,380,-0.2721,1.1005,-0.0188,-58.41,-92.41,0.18,16.0,30.0,-88.0,1.1338,109.32,False
18,Forehand,400,-0.2986,1.0702,-0.0051,-72.63,-94.18,4.58,16.0,30.0,-88.0,1.1111,119.02,False
19,Forehand,419,-0.3291,1.0488,0.0065,-79.41,-96.56,6.47,16.0,30.0,-88.0,1.0993,125.18,False
20,Forehand,439,-0.3839,1.0321,-0.0332,-84.35,-96.44,17.7,16.0,30.0,-88.0,1.1017,129.34,False
21,Forehand,464,-0.5073,0.9897,-0.1808,-86.12,-104.19,13.24,16.0,30.0,-88.0,1.1268,135.82,False
22,Forehand,486,-0.6626,0.9384,-0.2791,-87.46,-125.06,-5.0,19.0,31.0,-104.0,1.1821,152.69,False
23,Forehand,511,-0.8141,0.8748,-0.2955,-86.85,-164.43,-31.13,19.0,31.0,-104.0,1.231,188.54,False
24,Forehand,531,-0.9753,0.8123,-0.2926,-87.46,-216.98,-64.88,19.0,31.0,-104.0,1.3026,242.77,False
25,Forehand,552,-1.1133,0.7341,-0.2238,-92.65,-280.15,-104.49,19.0,31.0,-104.0,1.3522,313.03,False
26,Forehand,571,-1.1726,0.5851,-0.1184,-122.8,-406.01,-179.75,19.0,31.0,-104.0,1.3158,460.69,False
27,Forehand,597,-1.3129,0.0756,0.3835,-162.6,-502.56,-225.28,25.0,20.0,-131.0,1.3698,574.25,False
28,Forehand,617,-1.5228,-0.4792,0.8516,-210.51,-604.8,-235.72,25.0,20.0,-131.0,1.8094,682.39,False
29,Forehand,642,-1.6353,-1.1215,1.566,-257.14,-718.2,-180.54,25.0,20.0,-131.0,2.5267,783.92,False
30,Forehand,665,-1.4752,-2.0946,3.3618,-294.68,-886.54,57.01,25.0,20.0,-131.0,4.2268,935.96,False
31,Forehand,687,-1.0625,-2.5436,3.9999,-222.35,-957.58,293.82,20.0,-4.0,-126.0,4.8577,1026.03,False
32,Forehand,712,-0.4298,-2.1744,3.9999,25.15,-915.71,486.88,20.0,-4.0,-126.0,4.573,1037.4,False
33,Forehand,733,2.0273,-0.6963,3.9845,398.32,-655.33,621.15,20.0,-4.0,-126.0,4.5245,986.89,False
34,Forehand,753,4.0,1.0043,3.9999,483.34,283.69,879.46,20.0,-4.0,-126.0,5.7452,1042.85,False
35,Forehand,778,0.561,1.1067,3.9996,-84.96,1118.29,841.0,20.0,-4.0,-126.0,4.1877,1401.81,False
36,Forehand,798,-3.8065,-0.1796,3.9998,-652.53,1725.22,506.35,19.0,17.0,-82.0,5.5245,1912.74,False
37,Forehand,824,-1.5247,1.5262,1.6497,-571.23,2000.0,138.67,19.0,17.0,-82.0,2.7158,2084.59,False
38,Forehand,843,1.0958,1.1207,-2.0742,-499.82,2000.0,29.17,19.0,17.0,-82.0,2.5999,2061.71,False
39,Forehand,864,0.8363,1.1844,-1.5104,-255.13,1996.4,-327.94,19.0,17.0,-82.0,2.0937,2039.18,False
40,Forehand,891,0.842,0.8246,-1.395,31.62,1998.47,-393.19,25.0,10.0,-110.0,1.8262,2037.03,False
41,Forehand,911,0.9832,0.4028,-1.6301,297.85,1998.9,-294.86,25.0,10.0,-110.0,1.9458,2042.37,False
42,Forehand,931,0.9137,0.6313,-1.9216,411.8,1999.57,-96.37,25.0,10.0,-110.0,2.2195,2043.81,False
