sample_index,label,time_ms,ax,ay,az,gx,gy,gz,mx,my,mz,accel_mag,gyro_mag,wobble
0,Hammer,0,0.5402,0.7001,-0.1449,53.89,-67.81,13.0,13.0,-7.0,-73.0,0.896,87.59,False
1,Hammer,20,0.161,0.5413,0.0114,41.02,-73.91,30.88,13.0,-7.0,-73.0,0.5648,90.0,False
2,Hammer,44,0.2916,0.6063,0.1877,22.58,-67.69,50.96,13.0,-7.0,-73.0,0.6985,87.69,False
3,Hammer,66,0.4883,0.8014,0.3199,22.16,-70.19,62.01,8.0,-5.0,-64.0,0.9915,96.24,False
4,Hammer,86,0.5309,0.807,0.5214,45.72,-78.25,91.61,8.0,-5.0,-64.0,1.0977,128.86,False
5,Hammer,110,0.5583,0.8817,0.5863,62.44,-84.35,118.23,8.0,-5.0,-64.0,1.197,158.08,False
6,Hammer,130,0.2302,1.0508,0.7585,89.29,-72.94,141.72,8.0,-5.0,-64.0,1.3163,182.7,False
7,Hammer,157,0.2844,1.0074,0.7865,109.07,-57.43,150.02,9.0,1.0,-53.0,1.3094,194.17,False
8,Hammer,177,0.3171,0.9841,0.7225,139.59,-51.09,142.52,9.0,1.0,-53.0,1.2614,205.93,False
9,Hammer,196,0.2469,1.0305,0.5406,182.74,-39.18,144.23,9.0,1.0,-53.0,1.1896,236.07,False
10,Hammer,217,0.2257,1.1602,0.5847,219.48,-32.53,166.44,9.0,1.0,-53.0,1.3186,277.37,False
11,Hammer,241,0.0854,1.115,1.0897,248.6,-68.54,173.4,9.0,1.0,-53.0,1.5614,310.75,False
12,Hammer,263,-0.1107,0.8491,1.1112,284.18,-99.73,160.4,-3.0,9.0,-27.0,1.4029,341.22,False
13,Hammer,282,-0.2474,0.7227,1.2229,323.97,-112.3,141.05,-3.0,9.0,-27.0,1.4419,370.77,False
14,Hammer,308,-0.4589,0.6213,1.2341,382.26,-121.7,134.95,-3.0,9.0,-27.0,1.4559,423.26,False
15,Hammer,328,-0.4207,0.7223,1.3037,391.48,-116.33,132.75,-3.0,9.0,-27.0,1.5486,429.43,False
16,Hammer,354,-0.458,0.7234,1.3832,390.99,-113.65,133.24,-26.0,19.0,-17.0,1.6267,428.42,False
17,Hammer,374,-0.5599,0.7084,1.4161,385.44,-115.36,141.24,-26.0,19.0,-17.0,1.6795,426.4,False
18,Hammer,395,-0.6282,0.6743,1.4347,359.62,-114.62,149.05,-26.0,19.0,-17.0,1.7052,405.81,False
19,Hammer,419,-0.6896,0.5526,1.4523,332.4,-106.75,145.69,-26.0,19.0,-17.0,1.7,378.3,False
20,Hammer,440,-0.796,0.4377,1.395,308.53,-94.79,142.09,-26.0,19.0,-17.0,1.6647,352.66,False
21,Hammer,466,-0.8473,0.3073,1.3741,294.25,-90.64,134.64,-45.0,19.0,-25.0,1.6433,336.05,False
22,Hammer,486,-0.8495,0.1781,1.3292,282.78,-97.35,113.65,-45.0,19.0,-25.0,1.5875,319.93,False
23,Hammer,506,-0.8062,0.0978,1.2261,262.39,-107.42,74.77,-45.0,19.0,-25.0,1.4706,293.22,False
24,Hammer,526,-0.7345,0.0734,1.0739,222.17,-121.28,13.85,-45.0,19.0,-25.0,1.3031,253.49,False
25,Hammer,550,-0.7268,0.1193,0.9088,198.3,-127.26,-3.3,-49.0,20.0,-46.0,1.1698,235.65,False
26,Hammer,571,-0.9081,0.1232,0.9261,189.03,-131.23,9.28,-49.0,20.0,-46.0,1.3029,230.3,False
27,Hammer,596,-1.0454,0.0699,1.272,212.52,-152.34,33.39,-49.0,20.0,-46.0,1.6479,263.61,False
28,Hammer,615,-1.0432,0.0364,1.7793,257.45,-210.27,42.66,-49.0,20.0,-46.0,2.0629,335.13,False
29,Hammer,636,-1.0354,0.08,2.3523,307.07,-292.36,37.9,-49.0,20.0,-46.0,2.5713,425.68,False
30,Hammer,660,-0.7484,0.193,3.4003,333.86,-446.29,2.62,-46.0,17.0,-86.0,3.487,557.36,False
31,Hammer,680,-0.1475,0.1769,3.9954,301.88,-597.17,-51.21,-46.0,17.0,-86.0,4.002,671.09,False
32,Hammer,703,1.0795,0.0575,3.9999,263.67,-790.41,-131.04,-46.0,17.0,-86.0,4.1434,843.47,False
33,Hammer,724,3.1948,-0.2941,3.9908,179.93,-997.56,-225.83,-46.0,17.0,-86.0,5.1206,1038.51,False
34,Hammer,749,4.0,-0.7657,3.9999,-51.03,-1224.3,-263.18,-38.0,4.0,-101.0,5.7084,1253.31,False
35,Hammer,770,3.9688,-0.8315,3.9999,-78.61,-1289.92,-146.36,-38.0,4.0,-101.0,5.6957,1300.57,False
36,Hammer,791,3.9966,-0.9822,3.9998,38.57,-1296.57,5.43,-38.0,4.0,-101.0,5.7389,1297.15,False
37,Hammer,815,4.0,-1.6251,3.9999,209.35,-1276.86,184.69,-38.0,4.0,-101.0,5.8856,1307.02,False
38,Hammer,835,3.9995,-0.6091,3.7245,606.63,-1192.57,283.45,-38.0,4.0,-101.0,5.499,1367.68,False
39,Hammer,861,3.9999,3.3323,-1.4297,1092.22,-499.45,101.07,-31.0,-8.0,-107.0,5.3988,1205.25,False
40,Hammer,879,4.0,2.4948,0.9805,235.6,1751.4,249.45,-31.0,-8.0,-107.0,4.8151,1784.7,False
41,Hammer,899,4.0,0.6393,3.9999,-333.5,2000.0,202.7,-31.0,-8.0,-107.0,5.6928,2037.72,False
42,Hammer,920,3.3174,0.479,3.1024,33.14,1991.21,125.12,-31.0,-8.0,-107.0,4.5672,1995.41,False
43,Hammer,945,1.041,0.4156,-2.285,267.76,1992.74,196.04,-31.0,-8.0,-107.0,2.5452,2020.18,False
44,Hammer,967,1.6628,0.0104,-3.0887,60.18,2000.0,248.23,-48.0,4.0,-40.0,3.5079,2016.24,False
45,Hammer,985,1.4338,-0.281,-3.1036,-257.93,1999.69,27.83,-48.0,4.0,-40.0,3.4304,2016.45,False
46,Hammer,1010,1.1326,-0.5581,-3.1121,-296.45,1999.39,-166.26,-48.0,4.0,-40.0,3.3584,2028.07,False
47,Hammer,1029,1.0051,-0.3044,-2.7758,-150.51,1998.96,-268.19,-48.0,4.0,-40.0,2.9678,2022.48,False
48,Hammer,1055,1.1667,-0.2498,-2.5775,92.96,1999.15,-229.43,-47.0,28.0,-47.0,2.8403,2014.41,False
49,Hammer,1076,1.36,-0.618,-2.5593,258.61,1999.82,-53.28,-47.0,28.0,-47.0,2.9634,2017.17,False
50,Hammer,1096,1.5446,-0.781,-2.85,213.07,2000.0,124.33,-47.0,28.0,-47.0,3.3344,2015.16,False
51,Hammer,1120,1.2828,-0.3269,-3.1136,-138.18,2000.0,160.64,-47.0,28.0,-47.0,3.3834,2011.19,False
52,Hammer,1141,1.1051,-0.6726,-3.0044,-303.28,2000.0,20.08,-47.0,28.0,-47.0,3.2711,2022.96,False
53,Hammer,1167,1.0879,-0.5641,-2.7235,-275.88,1999.45,-148.5,-43.0,24.0,-81.0,2.9865,2023.85,False
54,Hammer,1188,1.3289,-0.4088,-2.5109,53.41,1999.08,-238.71,-43.0,24.0,-81.0,2.8701,2013.99,False
55,Hammer,1208,1.4594,-0.7069,-2.7068,233.76,1999.51,-128.85,-43.0,24.0,-81.0,3.1553,2017.25,False
56,Hammer,1233,1.4199,-0.6621,-3.0042,211.79,2000.0,35.95,-43.0,24.0,-81.0,3.3881,2011.5,False
57,Hammer,1255,1.1987,-0.424,-3.061,17.09,2000.0,157.84,-38.0,9.0,-106.0,3.3146,2006.29,False
58,Hammer,1280,1.0938,-0.7268,-2.8179,-268.31,2000.0,72.69,-38.0,9.0,-106.0,3.1088,2019.23,False
59,Hammer,1299,1.2235,-0.5602,-2.5883,-246.7,1999.63,-98.51,-38.0,9.0,-106.0,2.9172,2017.2,False
60,Hammer,1319,1.4045,-0.4928,-2.5358,-63.48,1999.21,-214.78,-38.0,9.0,-106.0,2.9404,2011.71,False
61,Hammer,1340,1.4575,-0.8168,-2.7015,135.68,1999.27,-196.78,-38.0,9.0,-106.0,3.1764,2013.5,False
62,Hammer,1365,1.3181,-0.8865,-2.9335,197.33,1999.82,-55.05,-43.0,1.0,-81.0,3.3359,2010.28,False
63,Hammer,1386,1.1519,-0.5983,-3.0278,78.61,2000.0,102.97,-43.0,1.0,-81.0,3.2943,2004.19,False
