sample_index,label,time_ms,ax,ay,az,gx,gy,gz,mx,my,mz,accel_mag,gyro_mag,wobble
0,Hammer,0,-0.0525,0.6393,-0.8098,-61.58,-20.75,53.83,18.0,21.0,-144.0,1.0331,84.39,False
1,Hammer,20,-0.0505,0.6844,-0.8258,-69.15,-25.88,52.67,18.0,21.0,-144.0,1.0738,90.7,False
2,Hammer,41,-0.0615,0.6915,-0.8557,-75.56,-28.38,46.02,18.0,21.0,-144.0,1.1019,92.91,False
3,Hammer,67,-0.1123,0.6472,-0.9067,-85.51,-39.12,40.16,18.0,21.0,-144.0,1.1197,102.25,False
4,Hammer,87,-0.1069,0.6208,-0.9486,-99.98,-48.22,44.25,16.0,20.0,-146.0,1.1387,119.49,False
5,Hammer,113,-0.1161,0.6066,-0.9989,-115.97,-53.96,51.21,16.0,20.0,-146.0,1.1744,137.77,False
6,Hammer,133,-0.1235,0.5859,-1.0402,-124.82,-59.2,55.79,16.0,20.0,-146.0,1.2002,148.98,False
7,Hammer,153,-0.1157,0.5632,-1.0806,-126.71,-64.45,57.01,16.0,20.0,-146.0,1.224,153.16,False
8,Hammer,180,-0.1068,0.5448,-1.0981,-130.62,-68.18,61.4,8.0,18.0,-154.0,1.2305,159.62,False
9,Hammer,199,-0.1127,0.5397,-1.1033,-135.19,-68.54,66.89,8.0,18.0,-154.0,1.2333,165.68,False
10,Hammer,220,-0.1215,0.5396,-1.1346,-140.56,-67.57,71.72,8.0,18.0,-154.0,1.2623,171.66,False
11,Hammer,244,-0.1177,0.5248,-1.1694,-146.3,-64.88,77.39,8.0,18.0,-154.0,1.2872,177.77,False
12,Hammer,265,-0.098,0.5096,-1.2124,-152.16,-63.23,81.79,8.0,18.0,-154.0,1.3188,183.96,False
13,Hammer,290,-0.1315,0.4495,-1.2903,-163.76,-70.8,87.95,-2.0,15.0,-151.0,1.3726,198.91,False
14,Hammer,311,-0.1133,0.446,-1.2615,-166.75,-78.19,90.82,-2.0,15.0,-151.0,1.3428,205.34,False
15,Hammer,332,-0.0331,0.4683,-1.2458,-166.2,-77.21,85.08,-2.0,15.0,-151.0,1.3314,202.05,False
16,Hammer,357,-0.0205,0.4634,-1.1952,-176.15,-72.45,86.36,-2.0,15.0,-151.0,1.282,209.13,False
17,Hammer,379,0.0375,0.475,-1.1714,-191.1,-67.93,93.02,-12.0,12.0,-147.0,1.2646,223.13,False
18,Hammer,404,0.0894,0.4827,-1.1614,-204.9,-56.95,91.8,-12.0,12.0,-147.0,1.2609,231.63,False
19,Hammer,423,0.1072,0.4795,-1.1144,-210.63,-47.61,86.55,-12.0,12.0,-147.0,1.2179,232.64,False
20,Hammer,442,0.1595,0.4478,-1.0829,-214.48,-45.23,82.52,-12.0,12.0,-147.0,1.1826,234.21,False
21,Hammer,462,0.1951,0.4037,-1.0381,-227.6,-53.47,79.35,-12.0,12.0,-147.0,1.1308,246.89,False
22,Hammer,488,0.1709,0.3773,-0.8921,-234.25,-59.94,74.83,-28.0,6.0,-128.0,0.9836,253.11,False
23,Hammer,508,0.2008,0.3491,-0.838,-244.87,-56.95,66.59,-28.0,6.0,-128.0,0.9298,260.08,False
24,Hammer,529,0.1465,0.2678,-0.9204,-258.61,-45.72,52.19,-28.0,6.0,-128.0,0.9697,267.75,False
25,Hammer,552,0.1204,0.0856,-1.1887,-246.7,-39.18,17.94,-28.0,6.0,-128.0,1.1979,250.44,False
26,Hammer,569,0.0488,-0.2225,-1.5763,-204.96,-55.11,-21.18,-28.0,6.0,-128.0,1.5927,213.29,False
27,Hammer,596,-0.2843,-0.5393,-1.8981,-175.48,-110.78,-8.06,-39.0,4.0,-103.0,1.9936,207.67,False
28,Hammer,616,-0.8207,-0.553,-2.1266,-160.4,-252.75,117.43,-39.0,4.0,-103.0,2.3456,321.56,False
29,Hammer,637,-1.3116,-0.3054,-2.1301,-111.15,-346.5,177.25,-39.0,4.0,-103.0,2.5201,404.76,False
30,Hammer,660,-2.1094,-0.1426,-1.9939,-19.71,-446.29,190.43,-39.0,4.0,-103.0,2.9061,485.62,False
31,Hammer,686,-3.0262,-0.1487,-1.7944,88.01,-574.65,172.91,-41.0,-9.0,-77.0,3.5214,606.52,False
32,Hammer,707,-3.9999,-0.5322,-0.4326,220.83,-841.31,119.93,-41.0,-9.0,-77.0,4.0583,878.04,False
33,Hammer,726,-3.9999,-0.8649,1.0068,255.43,-930.48,79.1,-41.0,-9.0,-77.0,4.2143,968.14,False
34,Hammer,751,-3.989,-1.377,2.2866,252.32,-1102.11,-110.78,-41.0,-9.0,-77.0,4.7997,1136.04,False
35,Hammer,772,-3.9999,-1.9541,3.5945,108.15,-1151.43,-163.21,-48.0,16.0,-40.0,5.7217,1167.96,False
36,Hammer,792,-3.9996,-3.0859,3.9999,-196.23,-1235.29,-11.17,-48.0,16.0,-40.0,6.4435,1250.83,False
37,Hammer,817,-3.9998,-3.527,3.9816,-432.98,-1269.04,248.11,-48.0,16.0,-40.0,6.6551,1363.64,False
38,Hammer,837,-3.9999,-0.9674,3.9987,-549.32,-926.33,779.3,-48.0,16.0,-40.0,5.738,1329.34,False
39,Hammer,857,-3.9999,3.0369,3.9999,-572.57,243.65,1008.73,-48.0,16.0,-40.0,6.4203,1185.22,False
40,Hammer,884,-3.9999,3.3737,3.9996,-403.14,1660.16,295.59,-37.0,-10.0,-60.0,6.5862,1733.79,False
41,Hammer,903,-3.9999,0.806,3.9998,-132.45,1999.33,-187.32,-37.0,-10.0,-60.0,5.7137,2012.45,False
42,Hammer,924,-2.2452,0.2836,1.5524,-347.23,1985.05,304.02,-37.0,-10.0,-60.0,2.7443,2037.99,False
43,Hammer,948,1.2241,0.0466,-3.166,-583.62,1999.94,208.8,-37.0,-10.0,-60.0,3.3947,2093.79,False
44,Hammer,969,1.2891,0.0642,-2.3995,-505.13,1999.27,-196.72,-37.0,-10.0,-60.0,2.7246,2071.45,False
45,Hammer,995,1.3777,-0.1638,-2.1768,-139.83,1997.92,-474.55,-46.0,20.0,-28.0,2.5813,2058.26,False
46,Hammer,1014,1.3762,-0.869,-2.4622,265.81,1998.17,-453.92,-46.0,20.0,-28.0,2.9515,2066.25,False
47,Hammer,1035,1.1543,-0.6913,-2.7533,458.56,1999.39,-163.45,-46.0,20.0,-28.0,3.0645,2057.8,False
48,Hammer,1060,0.9736,-0.2111,-2.7649,156.98,2000.0,327.82,-46.0,20.0,-28.0,2.9389,2032.76,False
49,Hammer,1081,0.9655,-0.5719,-2.5398,-218.2,2000.0,365.66,-42.0,28.0,-83.0,2.7766,2044.83,False
50,Hammer,1101,1.2681,-0.1591,-2.3444,-439.45,1999.82,-48.52,-42.0,28.0,-83.0,2.6701,2048.11,False
51,Hammer,1125,1.3512,-0.1141,-2.3563,-370.18,1999.15,-221.37,-42.0,28.0,-83.0,2.7186,2045.15,False
52,Hammer,1145,1.3934,-0.4492,-2.4298,94.6,1998.29,-443.42,-42.0,28.0,-83.0,2.8368,2049.08,False
53,Hammer,1165,1.0918,-0.6372,-2.6774,327.09,1999.02,-258.24,-42.0,28.0,-83.0,2.9608,2042.0,False
54,Hammer,1192,0.928,-0.1726,-2.7235,312.13,2000.0,68.66,-35.0,9.0,-118.0,2.8824,2025.37,False
55,Hammer,1212,0.9354,-0.3441,-2.5536,83.37,2000.0,302.98,-35.0,9.0,-118.0,2.7412,2024.54,False
56,Hammer,1236,1.1832,-0.4375,-2.3625,-305.97,2000.0,204.59,-35.0,9.0,-118.0,2.6783,2033.59,False
57,Hammer,1257,1.3583,-0.2227,-2.4093,-349.49,1999.69,-93.32,-35.0,9.0,-118.0,2.7747,2032.15,False
58,Hammer,1282,1.3896,-0.4674,-2.5161,-174.62,1998.66,-345.4,-44.0,-6.0,-70.0,2.9121,2035.79,False
59,Hammer,1303,1.2054,-0.6864,-2.5947,88.68,1998.54,-387.63,-44.0,-6.0,-70.0,2.9423,2037.71,False
60,Hammer,1324,0.922,-0.3668,-2.6263,254.15,1999.33,-185.36,-44.0,-6.0,-70.0,2.8075,2023.92,False
61,Hammer,1348,0.9319,-0.4502,-2.458,143.98,2000.0,209.59,-44.0,-6.0,-70.0,2.667,2016.1,False
62,Hammer,1369,1.1177,-0.531,-2.3567,-80.2,2000.0,279.54,-44.0,-6.0,-70.0,2.6618,2021.03,False
63,Hammer,1395,1.3083,-0.4126,-2.4142,-263.61,2000.0,123.78,-48.0,15.0,-40.0,2.7767,2021.09,False
64,Hammer,1416,1.3274,-0.5273,-2.5624,-225.65,1999.02,-253.91,-48.0,15.0,-40.0,2.9336,2027.68,False
65,Hammer,1437,1.1637,-0.7173,-2.5549,-17.7,1998.66,-349.85,-48.0,15.0,-40.0,2.8976,2029.12,False
66,Hammer,1461,0.9449,-0.5396,-2.5229,175.05,1999.15,-223.08,-48.0,15.0,-40.0,2.7476,2019.16,False
