sample_index,label,time_ms,ax,ay,az,gx,gy,gz,mx,my,mz,accel_mag,gyro_mag,wobble
0,Scoober,0,0.6542,-0.6882,0.4248,5.8,-41.02,47.97,-40.0,6.0,-39.0,1.0402,63.38,False
1,Scoober,24,0.6973,-0.674,0.5454,3.17,-63.42,61.95,-40.0,6.0,-39.0,1.1126,88.71,False
2,Scoober,45,0.53,-0.6924,0.4235,11.23,-74.95,53.71,-40.0,6.0,-39.0,0.9694,92.89,False
3,Scoober,68,0.5488,-0.5626,0.4294,30.09,-81.67,36.56,-42.0,4.0,-39.0,0.8956,94.4,False
4,Scoober,90,0.6104,-0.6099,0.5605,34.24,-92.83,36.68,-42.0,4.0,-39.0,1.0289,105.53,False
5,Scoober,110,0.5861,-0.6688,0.6036,21.3,-101.2,50.35,-42.0,4.0,-39.0,1.0748,115.02,False
6,Scoober,131,0.625,-0.6547,0.641,18.49,-116.33,49.8,-42.0,4.0,-39.0,1.1091,127.89,False
7,Scoober,156,0.684,-0.8307,0.7556,16.3,-126.95,42.85,-42.0,4.0,-39.0,1.3148,134.98,False
8,Scoober,177,0.7086,-0.8962,0.6793,6.29,-135.62,41.75,-44.0,9.0,-35.0,1.3292,142.04,False
9,Scoober,203,0.7413,-0.7374,0.5842,6.96,-143.74,44.62,-44.0,9.0,-35.0,1.1978,150.66,False
10,Scoober,222,0.7086,-0.7428,0.5973,24.41,-151.61,57.01,-44.0,9.0,-35.0,1.1877,163.8,False
11,Scoober,243,0.6427,-1.1742,0.797,44.01,-161.01,68.48,-44.0,9.0,-35.0,1.5579,180.42,False
12,Scoober,269,0.593,-1.4855,1.0278,91.0,-191.47,50.35,-43.0,12.0,-33.0,1.9012,217.89,False
13,Scoober,289,0.6716,-1.5939,1.2607,122.01,-217.04,25.09,-43.0,12.0,-33.0,2.1403,250.24,False
14,Scoober,309,0.754,-1.6042,1.3794,143.31,-239.81,7.93,-43.0,12.0,-33.0,2.2461,279.48,False
15,Scoober,334,0.7188,-1.5872,1.4868,180.48,-258.06,-0.18,-43.0,12.0,-33.0,2.2905,314.91,False
16,Scoober,355,0.7729,-1.587,1.3586,240.11,-273.74,-24.66,-43.0,12.0,-33.0,2.2276,364.96,False
17,Scoober,381,0.8424,-1.6213,1.2932,263.92,-280.76,-53.89,-45.0,18.0,-55.0,2.2385,389.08,False
18,Scoober,401,0.9094,-1.6149,1.1321,264.95,-285.64,-81.36,-45.0,18.0,-55.0,2.1717,398.01,False
19,Scoober,422,0.873,-1.4893,1.0214,259.89,-286.44,-108.64,-45.0,18.0,-55.0,2.0058,401.74,False
20,Scoober,447,0.8922,-1.4014,0.7974,258.97,-277.1,-146.79,-45.0,18.0,-55.0,1.8427,406.69,False
21,Scoober,467,0.9532,-1.1246,0.5299,259.22,-263.85,-167.11,-36.0,23.0,-91.0,1.5666,405.88,False
22,Scoober,487,0.9324,-0.8557,0.2827,254.88,-245.97,-168.7,-36.0,23.0,-91.0,1.2967,392.34,False
23,Scoober,511,0.8856,-0.6017,0.1256,251.59,-224.06,-152.59,-36.0,23.0,-91.0,1.078,369.84,False
24,Scoober,531,0.858,-0.4434,-0.0896,247.8,-197.51,-131.04,-36.0,23.0,-91.0,0.97,342.91,False
25,Scoober,551,0.7831,-0.3218,-0.3553,233.76,-166.32,-103.15,-36.0,23.0,-91.0,0.9182,304.87,False
26,Scoober,577,0.7775,-0.224,-0.5623,189.94,-104.61,-32.1,-25.0,26.0,-119.0,0.9853,219.21,False
27,Scoober,598,0.8693,-0.2368,-0.8488,175.29,-43.46,41.02,-25.0,26.0,-119.0,1.2378,185.2,False
28,Scoober,623,1.3418,-0.5088,-1.2596,185.67,23.93,135.01,-25.0,26.0,-119.0,1.9094,230.81,False
29,Scoober,642,2.4414,-0.9022,-2.5282,274.48,77.76,256.59,-25.0,26.0,-119.0,3.6285,383.7,False
30,Scoober,665,4.0,-1.7528,-4.0,587.83,70.25,320.8,-11.0,21.0,-138.0,5.9222,673.34,False
31,Scoober,685,4.0,-1.0347,-3.9918,694.03,276.79,249.15,-11.0,21.0,-138.0,5.745,787.63,False
32,Scoober,710,3.9821,-0.9579,-3.9855,487.55,1022.77,669.43,-11.0,21.0,-138.0,5.7147,1316.02,False
33,Scoober,728,4.0,-1.6949,-4.0,-14.28,1876.46,1093.57,-11.0,21.0,-138.0,5.9053,2171.91,False
34,Scoober,749,3.2384,-0.4265,-3.3845,-552.73,2000.0,620.24,-11.0,21.0,-138.0,4.7036,2165.69,False
35,Scoober,775,1.1506,0.7014,-1.8682,-742.25,1993.96,-69.7,-29.0,-2.0,-34.0,2.3035,2128.77,False
36,Scoober,794,1.4304,-1.2175,-2.3704,-300.29,1997.13,-748.6,-29.0,-2.0,-34.0,3.0244,2153.86,False
37,Scoober,820,0.8917,-0.7657,-2.3564,152.47,1996.95,-792.79,-29.0,-2.0,-34.0,2.6333,2153.96,False
38,Scoober,840,0.4628,0.2347,-2.1603,539.61,1998.17,-424.87,-29.0,-2.0,-34.0,2.2217,2112.91,False
39,Scoober,859,0.5653,-0.1334,-2.1129,660.71,2000.0,103.82,-29.0,-2.0,-34.0,2.1913,2108.86,False
40,Scoober,886,0.8743,-0.9866,-1.9144,252.08,2000.0,688.17,-36.0,36.0,-64.0,2.3244,2130.05,False
41,Scoober,906,1.3431,-0.0089,-1.9927,-193.6,2000.0,608.58,-36.0,36.0,-64.0,2.4031,2099.49,False
42,Scoober,927,1.2186,0.0074,-2.2607,-567.69,2000.0,241.09,-36.0,36.0,-64.0,2.5683,2092.94,False
43,Scoober,951,1.1967,-0.8801,-2.3955,-637.33,1999.08,-244.08,-36.0,36.0,-64.0,2.8187,2112.37,False
44,Scoober,972,0.9645,-1.2415,-2.3052,-398.56,1997.68,-600.59,-31.0,11.0,-118.0,2.7902,2123.74,False
45,Scoober,998,0.6106,-0.0895,-1.8441,264.59,1998.05,-515.01,-31.0,11.0,-118.0,1.9446,2080.25,False
46,Scoober,1016,0.6771,-0.4855,-1.8317,563.35,1999.45,-150.45,-31.0,11.0,-118.0,2.0123,2082.74,False
47,Scoober,1036,0.932,-1.1676,-1.9369,563.17,2000.0,283.08,-31.0,11.0,-118.0,2.4461,2096.97,False
48,Scoober,1057,1.2588,-0.8475,-2.1267,253.54,2000.0,519.35,-31.0,11.0,-118.0,2.6126,2081.83,False
49,Scoober,1082,1.1914,-0.1737,-2.2776,-202.51,2000.0,464.72,-39.0,-7.0,-65.0,2.5762,2063.24,False
50,Scoober,1103,1.0271,-0.582,-2.3705,-536.07,2000.0,162.78,-39.0,-7.0,-65.0,2.6482,2076.99,False
51,Scoober,1127,0.8788,-1.1696,-2.1602,-493.65,1998.54,-386.05,-39.0,-7.0,-65.0,2.6089,2094.49,False
52,Scoober,1147,0.7651,-0.3645,-1.7959,-110.47,1997.99,-523.74,-39.0,-7.0,-65.0,1.9858,2068.44,False
53,Scoober,1169,0.7784,-0.3191,-1.6974,309.94,1998.47,-396.79,-43.0,28.0,-43.0,1.8944,2060.92,False
54,Scoober,1194,0.9639,-1.1748,-1.9955,549.68,1999.76,-68.85,-43.0,28.0,-43.0,2.5082,2075.07,False
55,Scoober,1214,1.1245,-0.8639,-2.2606,476.32,2000.0,259.7,-43.0,28.0,-43.0,2.6686,2072.28,False
56,Scoober,1235,1.0062,-0.4381,-2.3539,-89.23,2000.0,419.07,-43.0,28.0,-43.0,2.5972,2045.38,False
57,Scoober,1260,0.8654,-0.8145,-2.3159,-448.73,2000.0,231.2,-43.0,28.0,-43.0,2.603,2062.72,False
58,Scoober,1281,0.8658,-1.168,-2.1448,-558.35,1999.69,-93.32,-37.0,14.0,-105.0,2.5911,2078.28,False
59,Scoober,1306,0.9264,-0.4622,-1.7379,-159.18,1998.29,-446.53,-37.0,14.0,-105.0,2.0229,2053.75,False
60,Scoober,1325,0.9501,-0.5765,-1.6985,239.99,1998.47,-405.27,-37.0,14.0,-105.0,2.0298,2053.23,False
61,Scoober,1344,0.9634,-1.0659,-1.915,495.73,1999.39,-161.74,-37.0,14.0,-105.0,2.3941,2066.27,False
62,Scoober,1370,0.9741,-1.0084,-2.212,456.54,2000.0,147.58,-40.0,-2.0,-83.0,2.619,2056.75,False
63,Scoober,1391,0.903,-0.5231,-2.3185,156.43,2000.0,371.15,-40.0,-2.0,-83.0,2.5425,2040.15,False
64,Scoober,1412,0.7941,-0.5872,-2.2466,-233.15,2000.0,375.0,-40.0,-2.0,-83.0,2.4541,2048.17,False
65,Scoober,1436,0.8596,-0.9711,-2.0098,-524.23,2000.0,10.38,-40.0,-2.0,-83.0,2.3919,2067.59,False
66,Scoober,1456,0.9973,-0.606,-1.821,-362.24,1998.9,-287.54,-40.0,-2.0,-83.0,2.1629,2051.71,False
67,Scoober,1481,1.0669,-0.5101,-1.7291,-14.16,1998.35,-436.04,-48.0,22.0,-48.0,2.0948,2045.42,False
68,Scoober,1502,0.9935,-0.939,-1.8584,328.49,1998.66,-355.53,-48.0,22.0,-48.0,2.307,2056.44,False
69,Scoober,1523,0.8806,-1.0659,-2.1134,463.87,1999.63,-94.36,-48.0,22.0,-48.0,2.5255,2054.9,False
70,Scoober,1548,0.781,-0.5448,-2.2388,184.69,2000.0,323.24,-48.0,22.0,-48.0,2.4329,2034.35,False
71,Scoober,1570,0.7499,-0.6638,-2.1134,-166.69,2000.0,388.37,-41.0,15.0,-97.0,2.3387,2044.17,False
72,Scoober,1590,0.9193,-0.8523,-1.9514,-463.38,2000.0,84.05,-41.0,15.0,-97.0,2.3194,2054.7,False
73,Scoober,1615,1.0636,-0.5962,-1.8507,-362.37,1999.15,-225.46,-41.0,15.0,-97.0,2.2163,2044.19,False
74,Scoober,1635,1.1316,-0.6155,-1.8082,-67.63,1998.41,-419.49,-41.0,15.0,-97.0,2.2201,2043.09,False
75,Scoober,1656,0.9987,-0.9529,-1.934,250.31,1998.47,-398.19,-41.0,15.0,-97.0,2.376,2053.07,False
76,Scoober,1683,0.8003,-0.9213,-2.0914,407.35,1999.39,-162.6,-45.0,3.0,-77.0,2.4214,2046.93,False
77,Scoober,1702,0.7197,-0.6428,-2.1523,333.44,2000.0,156.01,-45.0,3.0,-77.0,2.3588,2033.6,False
78,Scoober,1721,0.7725,-0.7432,-2.0168,-90.09,2000.0,397.58,-45.0,3.0,-77.0,2.284,2041.12,False
