sample_index,label,time_ms,ax,ay,az,gx,gy,gz,mx,my,mz,accel_mag,gyro_mag,wobble
0,Scoober,0,0.2144,-0.3218,0.8025,-109.07,-23.19,71.9,-35.0,18.0,-17.0,0.8908,132.68,False
1,Scoober,19,0.1372,-0.481,0.7002,-107.3,-19.1,71.11,-35.0,18.0,-17.0,0.8605,130.13,False
2,Scoober,39,0.1539,-0.3879,0.828,-108.22,-18.43,78.43,-35.0,18.0,-17.0,0.9272,134.91,False
3,Scoober,64,0.2068,-0.3683,0.8569,-106.2,-22.03,88.87,-30.0,18.0,-14.0,0.9554,140.22,False
4,Scoober,85,0.2529,-0.5781,0.8549,-89.23,-32.59,98.14,-30.0,18.0,-14.0,1.0625,136.59,False
5,Scoober,109,0.2339,-0.6619,0.8885,-72.14,-40.28,97.11,-30.0,18.0,-14.0,1.1324,127.5,False
6,Scoober,129,0.2357,-0.6487,0.8988,-54.99,-46.75,96.5,-30.0,18.0,-14.0,1.1332,120.51,False
7,Scoober,149,0.2262,-0.6724,0.9229,-47.49,-50.29,96.56,-30.0,18.0,-14.0,1.164,118.78,False
8,Scoober,174,0.223,-0.7227,0.9178,-46.08,-50.78,98.88,-27.0,20.0,-17.0,1.1893,120.33,False
9,Scoober,194,0.2372,-0.9095,1.0758,-44.13,-47.49,83.19,-27.0,20.0,-17.0,1.4286,105.47,False
10,Scoober,214,0.2295,-0.9453,1.1752,-16.11,-64.21,78.0,-27.0,20.0,-17.0,1.5256,102.31,False
11,Scoober,239,0.1694,-1.0713,1.0166,16.42,-79.35,79.41,-27.0,20.0,-17.0,1.4866,113.45,False
12,Scoober,261,0.0687,-1.0702,1.0356,34.12,-86.0,88.13,-28.0,22.0,-19.0,1.4908,127.78,False
13,Scoober,277,-0.0735,-1.3236,1.2045,39.31,-92.53,99.61,-28.0,22.0,-19.0,1.7911,141.52,False
14,Scoober,302,-0.0825,-1.4073,1.2661,56.64,-100.59,108.09,-28.0,22.0,-19.0,1.8949,158.15,False
15,Scoober,322,-0.0991,-1.5035,1.4069,98.08,-117.13,109.8,-28.0,22.0,-19.0,2.0615,188.14,False
16,Scoober,342,-0.1243,-1.4659,1.4474,160.64,-146.42,118.23,-28.0,22.0,-19.0,2.0638,247.43,False
17,Scoober,364,-0.2271,-1.6138,1.5631,161.25,-156.68,123.29,-36.0,28.0,-26.0,2.2581,256.42,False
18,Scoober,385,-0.1371,-1.6091,1.5776,161.56,-160.28,123.17,-36.0,28.0,-26.0,2.2577,258.77,False
19,Scoober,409,0.0028,-1.6107,1.5681,211.85,-168.88,99.85,-36.0,28.0,-26.0,2.248,288.75,False
20,Scoober,429,0.0295,-1.616,1.5977,263.92,-181.64,69.03,-36.0,28.0,-26.0,2.2726,327.73,False
21,Scoober,449,0.0785,-1.5507,1.5813,291.2,-192.14,44.01,-36.0,28.0,-26.0,2.2161,351.64,False
22,Scoober,476,0.1772,-1.3961,1.4277,290.53,-193.12,28.56,-42.0,33.0,-52.0,2.0047,350.02,False
23,Scoober,496,0.2354,-1.1436,1.287,304.69,-182.8,19.65,-42.0,33.0,-52.0,1.7377,355.86,False
24,Scoober,517,0.2466,-0.9558,1.2311,320.13,-165.71,19.71,-42.0,33.0,-52.0,1.578,361.01,False
25,Scoober,541,0.3085,-0.7217,1.1479,328.06,-144.1,33.02,-42.0,33.0,-52.0,1.3906,359.84,False
