sample_index,throw_id,label,time_ms,ax,ay,az,gx,gy,gz,mx,my,mz,accel_mag,gyro_mag,wobble
0,7,Forehand,0,0.0195,1.0189,0.4723,-36.07,-96.98,1.22,15.0,0.0,-75.0,1.1232,103.48,false
1,7,Forehand,24,0.0601,1.0206,0.4005,-41.32,-109.56,16.97,15.0,0.0,-75.0,1.098,118.31,false
2,7,Forehand,46,0.1045,1.0021,0.377,-43.4,-112.55,25.09,16.0,0.0,-75.0,1.0757,123.21,false
3,7,Forehand,70,0.132,0.9843,0.3014,-44.8,-113.4,29.3,16.0,0.0,-75.0,1.0378,125.4,false
4,7,Forehand,90,0.1289,0.9791,0.2672,-45.17,-112.43,34.48,16.0,0.0,-75.0,1.0231,125.97,false
5,7,Forehand,109,0.1388,0.9681,0.2213,-42.91,-109.07,39.86,16.0,0.0,-75.0,1.0028,123.8,false
6,7,Forehand,135,0.1453,0.9486,0.2062,-30.46,-101.87,42.54,18.0,8.0,-77.0,0.9816,114.52,false
7,7,Forehand,155,0.1318,0.9246,0.2042,-23.19,-98.69,38.57,18.0,8.0,-77.0,0.956,108.47,false
8,7,Forehand,176,0.058,0.9332,0.17,-23.8,-97.72,32.71,18.0,8.0,-77.0,0.9504,105.76,false
9,7,Forehand,197,0.014,0.947,0.1328,-28.38,-97.41,29.42,18.0,8.0,-77.0,0.9564,105.64,false
10,7,Forehand,218,-0.0126,0.9602,0.0863,-31.8,-94.85,29.24,18.0,8.0,-77.0,0.9642,104.22,false
11,7,Forehand,243,-0.0291,0.9602,0.0867,-28.08,-91.67,32.96,19.0,8.0,-74.0,0.9645,101.38,false
12,7,Forehand,264,-0.0425,0.9435,0.093,-20.63,-93.87,36.13,19.0,8.0,-74.0,0.949,102.68,false
13,7,Forehand,281,-0.0468,0.9457,0.0537,-20.2,-94.85,36.01,19.0,8.0,-74.0,0.9484,103.45,false
14,7,Forehand,306,-0.0436,0.9558,0.0367,-10.19,-93.26,40.71,19.0,8.0,-74.0,0.9575,102.27,false
15,7,Forehand,327,-0.0653,0.9528,0.0481,-0.18,-90.15,45.1,19.0,8.0,-74.0,0.9562,100.8,false
16,7,Forehand,352,-0.0853,0.9417,0.0613,0.85,-86.18,42.66,20.0,12.0,-74.0,0.9475,96.17,false
17,7,Forehand,373,-0.0681,0.9075,0.0593,-11.11,-80.32,29.85,20.0,12.0,-74.0,0.912,86.41,false
18,7,Forehand,394,0.0245,0.9218,0.069,-8.97,-82.52,24.66,20.0,12.0,-74.0,0.9247,86.59,false
19,7,Forehand,418,0.0016,0.9843,0.0669,5.0,-86.98,32.17,20.0,12.0,-74.0,0.9865,92.87,false
20,7,Forehand,440,-0.1295,1.0227,0.1399,8.18,-92.1,48.28,18.0,17.0,-74.0,1.0403,104.31,false
21,7,Forehand,458,-0.2601,0.9803,0.4209,-33.63,-116.7,55.11,18.0,17.0,-74.0,1.0981,133.37,false
22,7,Forehand,482,-0.2823,0.9407,0.613,-71.23,-149.41,53.16,18.0,17.0,-74.0,1.1578,173.85,false
23,7,Forehand,502,-0.3206,0.8922,0.7637,-100.04,-194.89,57.62,18.0,17.0,-74.0,1.2174,226.51,false
24,7,Forehand,523,-0.3041,0.7885,0.9681,-127.38,-254.15,67.44,18.0,17.0,-74.0,1.2851,292.18,false
25,7,Forehand,549,-0.1865,0.6215,1.1476,-173.03,-326.6,72.2,21.0,22.0,-94.0,1.3183,376.59,false
26,7,Forehand,570,-0.0231,0.3519,1.2838,-236.21,-407.65,79.96,21.0,22.0,-94.0,1.3314,477.88,false
27,7,Forehand,589,0.5253,-0.2325,1.6365,-260.99,-549.62,133.54,21.0,22.0,-94.0,1.7344,622.92,false
28,7,Forehand,613,1.0503,-0.6885,1.8983,-211.85,-651.67,183.47,21.0,22.0,-94.0,2.2761,709.38,false
29,7,Forehand,633,1.8619,-1.0734,2.0225,-120.18,-751.04,228.33,23.0,21.0,-130.0,2.9511,794.13,false
30,7,Forehand,633,1.8619,-1.0734,2.0225,-120.18,-751.04,228.33,23.0,21.0,-130.0,2.9511,794.13,false
31,7,Forehand,659,3.2285,-1.5605,2.1498,36.62,-828.61,269.23,23.0,21.0,-130.0,4.1809,872.02,false
32,7,Forehand,679,4.0,-1.8003,2.6459,279.85,-865.23,268.43,23.0,21.0,-130.0,5.1227,948.16,false
33,7,Forehand,701,3.9847,-0.7947,2.014,563.6,-776.49,97.29,23.0,21.0,-130.0,4.535,964.39,false
34,7,Forehand,720,3.9943,0.8961,0.3571,743.16,-463.26,-199.04,23.0,21.0,-130.0,4.1091,898.06,false
35,7,Forehand,747,4.0,1.6444,-0.6437,824.1,600.59,-68.79,23.0,8.0,-79.0,4.3725,1022.04,false
36,7,Forehand,767,3.9999,0.626,2.0875,571.96,1409.24,477.17,23.0,8.0,-79.0,4.5551,1593.99,false
37,7,Forehand,788,3.9999,-0.1271,3.9999,203.67,1905.33,699.16,23.0,8.0,-79.0,5.6581,2039.76,false
