sample_index,throw_id,label,time_ms,ax,ay,az,gx,gy,gz,mx,my,mz,accel_mag,gyro_mag,wobble
0,1,Backhand,0,-0.115,0.5999,0.4177,40.47,147.4,-11.35,21.0,1.0,-84.0,0.74,153.27,false
1,1,Backhand,20,-0.191,0.7468,0.3274,24.72,168.88,-10.31,21.0,1.0,-84.0,0.8375,171.0,false
2,1,Backhand,45,-0.2699,1.0665,-0.0155,39.73,164.0,-28.69,21.0,1.0,-84.0,1.1003,171.17,false
3,1,Backhand,66,-0.1106,1.1296,-0.004,68.24,146.42,-52.8,17.0,3.0,-84.0,1.135,169.95,false
4,1,Backhand,86,0.1332,1.0892,0.3479,124.57,149.78,-77.7,17.0,3.0,-84.0,1.1512,209.74,false
5,1,Backhand,108,0.2528,0.8727,0.3826,145.02,169.98,-75.81,17.0,3.0,-84.0,0.9858,235.95,false
6,1,Backhand,128,0.2777,0.7933,0.3464,149.11,179.26,-66.77,17.0,3.0,-84.0,0.9091,242.54,false
7,1,Backhand,148,0.2786,0.7732,0.2501,148.99,192.38,-29.79,17.0,3.0,-84.0,0.8591,245.14,false
8,1,Backhand,175,0.408,1.2352,0.2365,103.82,194.58,48.77,13.0,-4.0,-85.0,1.3222,225.87,false
9,1,Backhand,196,0.5239,1.8396,0.4672,67.02,203.8,75.74,13.0,-4.0,-85.0,1.969,227.51,false
10,1,Backhand,219,0.5638,2.2028,0.662,10.44,238.65,99.61,13.0,-4.0,-85.0,2.3682,258.81,false
11,1,Backhand,240,0.5488,1.9354,0.8169,-57.31,263.73,129.64,13.0,-4.0,-85.0,2.1713,299.41,false
12,1,Backhand,262,0.4575,1.9847,0.7683,-127.62,281.19,157.96,25.0,-1.0,-99.0,2.1769,346.85,false
13,1,Backhand,286,0.3038,1.9475,0.8978,-177.73,288.7,176.15,25.0,-1.0,-99.0,2.1659,382.05,false
14,1,Backhand,306,0.1375,1.4708,1.23,-210.45,300.72,179.32,25.0,-1.0,-99.0,1.9223,408.51,false
15,1,Backhand,325,-0.0934,1.1611,1.2257,-219.18,302.25,177.19,25.0,-1.0,-99.0,1.6909,413.26,false
16,1,Backhand,349,-0.3365,0.7708,0.8755,-213.5,290.65,172.91,25.0,-1.0,-99.0,1.214,399.95,false
17,1,Backhand,371,-0.3785,0.6573,0.7859,-176.39,236.39,148.74,29.0,13.0,-131.0,1.0923,330.33,false
18,1,Backhand,390,-0.3771,0.4325,0.5142,-136.96,190.8,122.99,29.0,13.0,-131.0,0.7705,265.12,false
19,1,Backhand,415,-0.3909,0.4149,0.4611,-105.22,140.69,96.86,29.0,13.0,-131.0,0.7332,200.62,false
20,1,Backhand,436,-0.2798,0.2089,0.4852,-111.08,89.54,52.49,29.0,13.0,-131.0,0.5978,152.03,false
21,1,Backhand,461,-0.5391,0.4486,0.5566,-47.67,43.64,31.31,27.0,16.0,-135.0,0.8954,71.81,false
22,1,Backhand,481,-0.4227,0.4232,0.84,4.58,14.47,20.51,27.0,16.0,-135.0,1.0312,25.51,false
23,1,Backhand,501,-0.4186,0.3092,0.563,34.3,-28.32,44.43,27.0,16.0,-135.0,0.7667,62.87,false
24,1,Backhand,527,-0.8864,0.1895,0.5762,39.61,-49.38,56.4,27.0,16.0,-135.0,1.074,84.78,false
25,1,Backhand,546,-0.9725,0.3486,0.7803,34.48,-63.48,52.67,27.0,16.0,-135.0,1.2947,89.4,false
26,1,Backhand,572,-0.9117,0.4662,0.7822,26.98,-94.73,70.07,28.0,19.0,-135.0,1.2886,120.87,false
27,1,Backhand,589,-1.631,0.5261,0.7048,41.99,-192.08,113.59,28.0,19.0,-135.0,1.853,227.07,false
28,1,Backhand,610,-2.171,0.3367,0.8652,107.18,-317.02,166.56,28.0,19.0,-135.0,2.3612,373.81,false
29,1,Backhand,630,-3.5596,0.1932,1.0139,143.86,-490.48,192.14,28.0,19.0,-135.0,3.7062,546.06,false
30,1,Backhand,630,-3.5596,0.1932,1.0139,143.86,-490.48,192.14,28.0,19.0,-135.0,3.7062,546.06,false
31,1,Backhand,654,-3.9999,0.1616,1.007,152.53,-663.57,214.05,29.0,13.0,-126.0,4.1278,713.73,false
32,1,Backhand,678,-3.9762,-0.4131,0.4454,221.74,-872.86,201.84,29.0,13.0,-126.0,4.0223,922.93,false
33,1,Backhand,699,-3.9872,-0.6533,0.1815,349.91,-1186.22,116.7,29.0,13.0,-126.0,4.0444,1242.24,false
34,1,Backhand,718,-3.9999,-0.6102,-0.4106,184.08,-1812.93,118.23,29.0,13.0,-126.0,4.0669,1826.08,false
35,1,Backhand,743,-3.2866,1.2657,-1.8918,-124.57,-1998.84,286.62,29.0,13.0,-126.0,3.9979,2023.12,false
36,1,Backhand,765,0.6821,1.7473,-1.2158,24.11,-1998.23,445.74,25.0,18.0,-102.0,2.2353,2047.48,false
37,1,Backhand,789,0.8385,0.658,-1.2239,438.78,-1997.8,212.52,25.0,18.0,-102.0,1.6229,2056.43,false
38,1,Backhand,810,0.4269,0.8848,-1.7173,459.96,-1999.94,-4.64,25.0,18.0,-102.0,1.9784,2052.16,false
39,1,Backhand,831,0.637,1.2633,-1.7456,317.81,-1999.94,-219.24,25.0,18.0,-102.0,2.247,2036.87,false
40,1,Backhand,857,0.7205,1.131,-1.582,108.83,-1999.94,-340.27,27.0,11.0,-103.0,2.0739,2031.6,false
41,1,Backhand,878,0.8052,0.702,-1.5389,-122.92,-1999.94,-320.25,27.0,11.0,-103.0,1.8734,2029.14,false
42,1,Backhand,902,0.7854,0.7524,-1.2977,-341.98,-1999.94,-105.77,27.0,11.0,-103.0,1.6933,2031.72,false
43,1,Backhand,919,0.5891,1.1428,-1.1984,-307.37,-1999.57,102.91,27.0,11.0,-103.0,1.7576,2025.67,false
44,1,Backhand,940,0.5328,1.0312,-1.2461,-167.54,-1998.9,269.9,27.0,11.0,-103.0,1.703,2023.99,false
45,1,Backhand,967,0.5651,0.6631,-1.333,28.08,-1998.78,309.69,26.0,22.0,-101.0,1.5924,2022.82,false
46,1,Backhand,986,0.5389,0.5876,-1.4907,212.34,-1999.02,249.63,26.0,22.0,-101.0,1.6906,2025.71,false
47,1,Backhand,1007,0.6482,0.7993,-1.6471,296.57,-1999.51,109.86,26.0,22.0,-101.0,1.9422,2024.37,false
48,1,Backhand,1033,0.7764,1.0605,-1.5917,219.12,-1999.94,-142.4,26.0,22.0,-101.0,2.0642,2016.94,false
49,1,Backhand,1054,0.7445,0.7944,-1.4781,79.16,-1999.94,-220.64,25.0,5.0,-97.0,1.8358,2013.63,false
50,1,Backhand,1074,0.7423,0.6543,-1.3728,-74.65,-1999.94,-200.56,25.0,5.0,-97.0,1.6923,2011.36,false
51,1,Backhand,1098,0.6727,0.8525,-1.2505,-173.34,-1999.94,-114.14,25.0,5.0,-97.0,1.6562,2010.68,false
52,1,Backhand,1119,0.5364,1.0149,-1.24,-190.8,-1999.88,18.43,25.0,5.0,-97.0,1.6898,2009.04,false
53,1,Backhand,1138,0.4987,0.9337,-1.2903,-79.59,-1999.33,170.41,25.0,5.0,-97.0,1.6689,2008.16,false
54,1,Backhand,1164,0.5842,0.6084,-1.4188,41.2,-1999.27,180.24,27.0,20.0,-110.0,1.6506,2007.8,false
55,1,Backhand,1185,0.6526,0.7555,-1.517,136.35,-1999.45,126.53,27.0,20.0,-110.0,1.816,2008.08,false
56,1,Backhand,1210,0.7493,1.0594,-1.5073,173.89,-1999.94,-19.53,27.0,20.0,-110.0,1.9889,2007.58,false
57,1,Backhand,1228,0.7361,0.9669,-1.4551,153.63,-1999.94,-63.17,27.0,20.0,-110.0,1.8958,2006.82,false
58,1,Backhand,1249,0.7101,0.8425,-1.4224,75.38,-1999.94,-109.5,27.0,20.0,-110.0,1.7992,2004.35,false
59,1,Backhand,1274,0.6665,0.776,-1.3405,-56.4,-1999.94,-75.5,24.0,11.0,-87.0,1.6862,2002.16,false
60,1,Backhand,1294,0.5828,1.0906,-1.2761,-101.87,-1999.94,-13.67,24.0,11.0,-87.0,1.7769,2002.58,false
61,1,Backhand,1315,0.5262,1.1816,-1.3003,-97.17,-1999.76,53.34,24.0,11.0,-87.0,1.8341,2002.83,false
62,1,Backhand,1338,0.5625,0.9353,-1.4047,-8.36,-1999.57,95.89,24.0,11.0,-87.0,1.7788,2001.89,false
63,1,Backhand,1360,0.587,0.9274,-1.4519,25.51,-1999.63,91.19,29.0,13.0,-112.0,1.8201,2001.87,false
64,1,Backhand,1384,0.6981,1.1307,-1.4855,97.47,-1999.82,40.22,29.0,13.0,-112.0,1.9931,2002.59,false
65,1,Backhand,1402,0.7097,1.1951,-1.4459,107.67,-1999.94,-4.94,29.0,13.0,-112.0,2.0056,2002.84,false
